Date,Temp_C,Location_ID,Latitude,Longitude
20150101,2.57,Amsterdam,52.36,4.9
20150102,6.66,Amsterdam,52.36,4.9
20150103,4.75,Amsterdam,52.36,4.9
20150104,4.13,Amsterdam,52.36,4.9
20150105,2.78,Amsterdam,52.36,4.9
20150106,2.49,Amsterdam,52.36,4.9
20150107,3.78,Amsterdam,52.36,4.9
20150108,5.68,Amsterdam,52.36,4.9
20150109,8.57,Amsterdam,52.36,4.9
20150110,8.35,Amsterdam,52.36,4.9
20150111,5.63,Amsterdam,52.36,4.9
20150112,8.23,Amsterdam,52.36,4.9
20150113,7.72,Amsterdam,52.36,4.9
20150114,3.9,Amsterdam,52.36,4.9
20150115,6.59,Amsterdam,52.36,4.9
20150116,4.82,Amsterdam,52.36,4.9
20150117,2.47,Amsterdam,52.36,4.9
20150118,1.39,Amsterdam,52.36,4.9
20150119,1.71,Amsterdam,52.36,4.9
20150120,-0.12,Amsterdam,52.36,4.9
20150121,-0.72,Amsterdam,52.36,4.9
20150122,-1.36,Amsterdam,52.36,4.9
20150123,-1.23,Amsterdam,52.36,4.9
20150124,2.15,Amsterdam,52.36,4.9
20150125,3.4,Amsterdam,52.36,4.9
20150126,4.49,Amsterdam,52.36,4.9
20150127,4.51,Amsterdam,52.36,4.9
20150128,4.32,Amsterdam,52.36,4.9
20150129,2.54,Amsterdam,52.36,4.9
20150130,1.39,Amsterdam,52.36,4.9
20150131,1.32,Amsterdam,52.36,4.9
20150201,2.66,Amsterdam,52.36,4.9
20150202,2.27,Amsterdam,52.36,4.9
20150203,1.53,Amsterdam,52.36,4.9
20150204,0.95,Amsterdam,52.36,4.9
20150205,0.11,Amsterdam,52.36,4.9
20150206,-0.22,Amsterdam,52.36,4.9
20150207,3.18,Amsterdam,52.36,4.9
20150208,4.45,Amsterdam,52.36,4.9
20150209,4.91,Amsterdam,52.36,4.9
20150210,4.9,Amsterdam,52.36,4.9
20150211,3.55,Amsterdam,52.36,4.9
20150212,1.87,Amsterdam,52.36,4.9
20150213,4.03,Amsterdam,52.36,4.9
20150214,5.19,Amsterdam,52.36,4.9
20150215,1.68,Amsterdam,52.36,4.9
20150216,1.5,Amsterdam,52.36,4.9
20150217,3.41,Amsterdam,52.36,4.9
20150218,3.04,Amsterdam,52.36,4.9
20150219,2.51,Amsterdam,52.36,4.9
20150220,3.5,Amsterdam,52.36,4.9
20150221,2.44,Amsterdam,52.36,4.9
20150222,3.07,Amsterdam,52.36,4.9
20150223,4.36,Amsterdam,52.36,4.9
20150224,4.83,Amsterdam,52.36,4.9
20150225,3.66,Amsterdam,52.36,4.9
20150226,5.04,Amsterdam,52.36,4.9
20150227,4.23,Amsterdam,52.36,4.9
20150228,3.99,Amsterdam,52.36,4.9
20150301,6.84,Amsterdam,52.36,4.9
20150302,4.95,Amsterdam,52.36,4.9
20150303,3.88,Amsterdam,52.36,4.9
20150304,4.81,Amsterdam,52.36,4.9
20150305,5.02,Amsterdam,52.36,4.9
20150306,6.06,Amsterdam,52.36,4.9
20150307,6.25,Amsterdam,52.36,4.9
20150308,6.58,Amsterdam,52.36,4.9
