Date,Temp_C,Location_ID
20150101,15.08,Delhi
20150102,15.76,Delhi
20150103,14.41,Delhi
20150104,13.53,Delhi
20150105,13.07,Delhi
20150106,13.18,Delhi
20150107,12.44,Delhi
20150108,12.37,Delhi
20150109,11.7,Delhi
20150110,11.06,Delhi
20150111,12.12,Delhi
20150112,12.38,Delhi
20150113,12.19,Delhi
20150114,11.4,Delhi
20150115,11.22,Delhi
20150116,12.44,Delhi
20150117,13.65,Delhi
20150118,13.31,Delhi
20150119,13.0,Delhi
20150120,12.11,Delhi
20150121,13.27,Delhi
20150122,12.51,Delhi
20150123,13.19,Delhi
20150124,13.47,Delhi
20150125,12.68,Delhi
20150126,12.54,Delhi
20150127,12.2,Delhi
20150128,10.65,Delhi
20150129,10.4,Delhi
20150130,11.27,Delhi
20150131,13.16,Delhi
20150201,15.43,Delhi
20150202,15.79,Delhi
20150203,15.43,Delhi
20150204,14.15,Delhi
20150205,13.58,Delhi
20150206,14.97,Delhi
20150207,17.1,Delhi
20150208,17.33,Delhi
20150209,16.05,Delhi
20150210,15.44,Delhi
20150211,15.63,Delhi
20150212,15.05,Delhi
20150213,16.75,Delhi
20150214,19.76,Delhi
20150215,20.34,Delhi
20150216,19.54,Delhi
20150217,19.98,Delhi
20150218,20.9,Delhi
20150219,21.93,Delhi
20150220,21.72,Delhi
20150221,21.76,Delhi
20150222,21.92,Delhi
20150223,21.29,Delhi
20150224,21.94,Delhi
20150225,21.87,Delhi
20150226,16.34,Delhi
20150227,16.5,Delhi
20150228,18.08,Delhi
20150301,16.35,Delhi
20150302,16.85,Delhi
20150303,16.16,Delhi
20150304,15.82,Delhi
20150305,17.74,Delhi
20150306,18.46,Delhi
20150307,20.17,Delhi
20150308,20.16,Delhi
20150309,16.15,Delhi
20150310,16.54,Delhi
20150311,18.59,Delhi
20150312,21.21,Delhi
20150313,21.59,Delhi
20150314,22.21,Delhi
20150315,18.91,Delhi
20150316,19.28,Delhi
20150317,20.14,Delhi
20150318,19.76,Delhi
20150319,20.42,Delhi
20150320,22.34,Delhi
20150321,23.63,Delhi
20150322,24.59,Delhi
20150323,25.01,Delhi
20150324,27.15,Delhi
20150325,27.91,Delhi
20150326,27.71,Delhi
20150327,27.68,Delhi
20150328,27.63,Delhi
20150329,24.35,Delhi
20150330,21.83,Delhi
20150331,24.69,Delhi
20150401,26.64,Delhi
20150402,27.81,Delhi
20150403,24.91,Delhi
20150404,21.05,Delhi
20150405,22.89,Delhi
20150406,24.24,Delhi
20150407,25.5,Delhi
20150408,25.1,Delhi
20150409,24.75,Delhi
20150410,25.8,Delhi
20150411,28.47,Delhi
20150412,26.52,Delhi
20150413,23.96,Delhi
20150414,25.23,Delhi
20150415,26.56,Delhi
20150416,27.36,Delhi
20150417,27.61,Delhi
20150418,30.0,Delhi
20150419,31.85,Delhi
20150420,31.42,Delhi
20150421,30.13,Delhi
20150422,29.57,Delhi
20150423,30.9,Delhi
20150424,33.69,Delhi
20150425,32.41,Delhi
20150426,28.83,Delhi
20150427,30.26,Delhi
20150428,31.56,Delhi
20150429,32.18,Delhi
20150430,32.23,Delhi
20150501,31.35,Delhi
20150502,31.28,Delhi
20150503,31.81,Delhi
20150504,32.98,Delhi
20150505,32.42,Delhi
20150506,33.6,Delhi
20150507,34.61,Delhi
20150508,34.67,Delhi
20150509,34.92,Delhi
20150510,35.4,Delhi
20150511,36.38,Delhi
20150512,35.39,Delhi
20150513,34.14,Delhi
20150514,33.0,Delhi
20150515,33.45,Delhi
20150516,34.35,Delhi
20150517,34.73,Delhi
20150518,37.02,Delhi
20150519,38.28,Delhi
20150520,36.09,Delhi
20150521,36.47,Delhi
20150522,37.27,Delhi
20150523,37.11,Delhi
20150524,37.6,Delhi
20150525,37.39,Delhi
20150526,36.83,Delhi
20150527,35.11,Delhi
20150528,35.3,Delhi
20150529,36.73,Delhi
20150530,36.96,Delhi
20150531,36.86,Delhi
20150601,35.93,Delhi
20150602,34.84,Delhi
20150603,35.07,Delhi
20150604,35.32,Delhi
20150605,35.16,Delhi
20150606,35.34,Delhi
20150607,36.5,Delhi
20150608,38.25,Delhi
20150609,39.17,Delhi
20150610,36.94,Delhi
20150611,37.54,Delhi
20150612,37.42,Delhi
20150613,34.92,Delhi
20150614,33.34,Delhi
20150615,34.0,Delhi
20150616,34.27,Delhi
20150617,35.21,Delhi
20150618,36.48,Delhi
20150619,37.43,Delhi
20150620,37.04,Delhi
20150621,35.87,Delhi
20150622,35.37,Delhi
20150623,36.54,Delhi
20150624,34.75,Delhi
20150625,28.15,Delhi
20150626,32.14,Delhi
20150627,33.22,Delhi
20150628,34.63,Delhi
20150629,33.99,Delhi
20150630,32.42,Delhi
20150701,32.91,Delhi
20150702,33.18,Delhi
20150703,34.64,Delhi
20150704,35.16,Delhi
20150705,34.77,Delhi
20150706,32.65,Delhi
20150707,32.06,Delhi
20150708,32.38,Delhi
20150709,32.35,Delhi
20150710,29.55,Delhi
20150711,28.07,Delhi
20150712,28.23,Delhi
20150713,28.8,Delhi
20150714,29.63,Delhi
20150715,30.34,Delhi
20150716,30.64,Delhi
20150717,30.3,Delhi
20150718,30.82,Delhi
20150719,29.82,Delhi
20150720,29.73,Delhi
20150721,30.32,Delhi
20150722,29.93,Delhi
20150723,30.02,Delhi
20150724,30.15,Delhi
20150725,30.17,Delhi
20150726,29.36,Delhi
20150727,29.31,Delhi
20150728,29.28,Delhi
20150729,29.01,Delhi
20150730,30.35,Delhi
20150731,29.58,Delhi
20150801,29.27,Delhi
20150802,28.98,Delhi
20150803,28.81,Delhi
20150804,31.78,Delhi
20150805,32.46,Delhi
20150806,31.91,Delhi
20150807,30.7,Delhi
20150808,29.76,Delhi
20150809,28.2,Delhi
20150810,30.43,Delhi
20150811,29.89,Delhi
20150812,29.7,Delhi
20150813,30.42,Delhi
20150814,30.97,Delhi
20150815,30.18,Delhi
20150816,29.2,Delhi
20150817,29.81,Delhi
20150818,30.22,Delhi
20150819,29.33,Delhi
20150820,28.9,Delhi
20150821,28.41,Delhi
20150822,28.44,Delhi
20150823,28.02,Delhi
20150824,28.0,Delhi
20150825,28.34,Delhi
20150826,28.67,Delhi
20150827,29.05,Delhi
20150828,29.6,Delhi
20150829,29.47,Delhi
20150830,29.46,Delhi
20150831,28.7,Delhi
20150901,28.63,Delhi
20150902,28.29,Delhi
20150903,28.34,Delhi
20150904,28.1,Delhi
20150905,28.1,Delhi
20150906,28.6,Delhi
20150907,28.95,Delhi
20150908,29.19,Delhi
20150909,29.28,Delhi
20150910,29.13,Delhi
20150911,29.26,Delhi
20150912,30.55,Delhi
20150913,31.08,Delhi
20150914,31.81,Delhi
20150915,31.83,Delhi
20150916,31.16,Delhi
20150917,32.06,Delhi
20150918,29.72,Delhi
20150919,29.97,Delhi
20150920,30.84,Delhi
20150921,30.56,Delhi
20150922,29.99,Delhi
20150923,27.63,Delhi
20150924,26.77,Delhi
20150925,26.63,Delhi
20150926,28.21,Delhi
20150927,28.33,Delhi
20150928,27.93,Delhi
20150929,27.13,Delhi
20150930,26.96,Delhi
20151001,27.23,Delhi
20151002,27.03,Delhi
20151003,27.97,Delhi
20151004,28.27,Delhi
20151005,29.61,Delhi
20151006,28.34,Delhi
20151007,27.83,Delhi
20151008,27.84,Delhi
20151009,28.24,Delhi
20151010,28.39,Delhi
20151011,28.7,Delhi
20151012,28.66,Delhi
20151013,28.2,Delhi
20151014,27.23,Delhi
20151015,27.16,Delhi
20151016,28.09,Delhi
20151017,27.51,Delhi
20151018,28.4,Delhi
20151019,29.11,Delhi
20151020,28.34,Delhi
20151021,25.53,Delhi
20151022,23.64,Delhi
20151023,23.65,Delhi
20151024,25.33,Delhi
20151025,25.23,Delhi
20151026,24.61,Delhi
20151027,23.48,Delhi
20151028,19.16,Delhi
20151029,21.08,Delhi
20151030,22.0,Delhi
20151031,22.86,Delhi
20151101,22.95,Delhi
20151102,23.31,Delhi
20151103,23.89,Delhi
20151104,24.64,Delhi
20151105,24.93,Delhi
20151106,24.05,Delhi
20151107,22.38,Delhi
20151108,22.26,Delhi
20151109,23.55,Delhi
20151110,23.48,Delhi
20151111,22.25,Delhi
20151112,21.69,Delhi
20151113,22.37,Delhi
20151114,22.78,Delhi
20151115,23.53,Delhi
20151116,21.67,Delhi
20151117,19.34,Delhi
20151118,18.67,Delhi
20151119,18.87,Delhi
20151120,19.57,Delhi
20151121,19.93,Delhi
20151122,19.99,Delhi
20151123,19.82,Delhi
20151124,19.19,Delhi
20151125,20.32,Delhi
20151126,20.96,Delhi
20151127,20.68,Delhi
20151128,20.37,Delhi
20151129,19.69,Delhi
20151130,20.18,Delhi
20151201,20.37,Delhi
20151202,18.1,Delhi
20151203,18.21,Delhi
20151204,18.16,Delhi
20151205,18.95,Delhi
20151206,19.21,Delhi
20151207,19.66,Delhi
20151208,20.13,Delhi
20151209,18.52,Delhi
20151210,18.88,Delhi
20151211,18.08,Delhi
20151212,14.89,Delhi
