Date,Temp_C,Location_ID,Latitude,Longitude
20150101,18.2,Melbourne,-37.81,144.96
20150102,26.08,Melbourne,-37.81,144.96
20150103,28.33,Melbourne,-37.81,144.96
20150104,18.16,Melbourne,-37.81,144.96
20150105,17.1,Melbourne,-37.81,144.96
20150106,19.93,Melbourne,-37.81,144.96
20150107,27.19,Melbourne,-37.81,144.96
20150108,23.61,Melbourne,-37.81,144.96
20150109,16.73,Melbourne,-37.81,144.96
20150110,16.26,Melbourne,-37.81,144.96
20150111,20.86,Melbourne,-37.81,144.96
20150112,22.73,Melbourne,-37.81,144.96
20150113,22.34,Melbourne,-37.81,144.96
20150114,19.35,Melbourne,-37.81,144.96
20150115,16.92,Melbourne,-37.81,144.96
20150116,19.2,Melbourne,-37.81,144.96
20150117,18.56,Melbourne,-37.81,144.96
20150118,16.32,Melbourne,-37.81,144.96
20150119,16.56,Melbourne,-37.81,144.96
20150120,20.85,Melbourne,-37.81,144.96
20150121,23.9,Melbourne,-37.81,144.96
20150122,24.22,Melbourne,-37.81,144.96
20150123,20.92,Melbourne,-37.81,144.96
20150124,20.12,Melbourne,-37.81,144.96
20150125,16.64,Melbourne,-37.81,144.96
20150126,15.45,Melbourne,-37.81,144.96
20150127,15.87,Melbourne,-37.81,144.96
20150128,17.96,Melbourne,-37.81,144.96
20150129,16.56,Melbourne,-37.81,144.96
20150130,16.2,Melbourne,-37.81,144.96
20150131,17.36,Melbourne,-37.81,144.96
20150201,16.64,Melbourne,-37.81,144.96
20150202,17.73,Melbourne,-37.81,144.96
20150203,16.96,Melbourne,-37.81,144.96
20150204,16.91,Melbourne,-37.81,144.96
20150205,17.98,Melbourne,-37.81,144.96
20150206,23.87,Melbourne,-37.81,144.96
20150207,25.02,Melbourne,-37.81,144.96
20150208,19.79,Melbourne,-37.81,144.96
20150209,19.73,Melbourne,-37.81,144.96
20150210,22.45,Melbourne,-37.81,144.96
20150211,22.89,Melbourne,-37.81,144.96
20150212,19.18,Melbourne,-37.81,144.96
20150213,23.56,Melbourne,-37.81,144.96
20150214,21.21,Melbourne,-37.81,144.96
20150215,22.92,Melbourne,-37.81,144.96
20150216,19.51,Melbourne,-37.81,144.96
20150217,17.69,Melbourne,-37.81,144.96
20150218,18.05,Melbourne,-37.81,144.96
20150219,21.14,Melbourne,-37.81,144.96
20150220,21.74,Melbourne,-37.81,144.96
20150221,25.36,Melbourne,-37.81,144.96
20150222,26.49,Melbourne,-37.81,144.96
20150223,20.87,Melbourne,-37.81,144.96
20150224,16.34,Melbourne,-37.81,144.96
20150225,20.03,Melbourne,-37.81,144.96
20150226,19.18,Melbourne,-37.81,144.96
20150227,18.59,Melbourne,-37.81,144.96
20150228,22.2,Melbourne,-37.81,144.96
20150301,17.17,Melbourne,-37.81,144.96
20150302,17.14,Melbourne,-37.81,144.96
20150303,17.71,Melbourne,-37.81,144.96
20150304,18.2,Melbourne,-37.81,144.96
20150305,15.82,Melbourne,-37.81,144.96
20150306,16.54,Melbourne,-37.81,144.96
20150307,17.47,Melbourne,-37.81,144.96
20150308,18.77,Melbourne,-37.81,144.96
20150309,17.61,Melbourne,-37.81,144.96
20150310,16.35,Melbourne,-37.81,144.96
20150311,18.08,Melbourne,-37.81,144.96
20150312,16.18,Melbourne,-37.81,144.96
20150313,15.67,Melbourne,-37.81,144.96
20150314,18.07,Melbourne,-37.81,144.96
20150315,15.27,Melbourne,-37.81,144.96
20150316,18.09,Melbourne,-37.81,144.96
20150317,20.82,Melbourne,-37.81,144.96
20150318,20.07,Melbourne,-37.81,144.96
20150319,21.39,Melbourne,-37.81,144.96
20150320,15.5,Melbourne,-37.81,144.96
20150321,15.24,Melbourne,-37.81,144.96
20150322,19.59,Melbourne,-37.81,144.96
20150323,19.95,Melbourne,-37.81,144.96
20150324,14.55,Melbourne,-37.81,144.96
20150325,15.77,Melbourne,-37.81,144.96
20150326,13.71,Melbourne,-37.81,144.96
20150327,14.74,Melbourne,-37.81,144.96
20150328,15.24,Melbourne,-37.81,144.96
20150329,16.34,Melbourne,-37.81,144.96
20150330,16.56,Melbourne,-37.81,144.96
20150331,17.8,Melbourne,-37.81,144.96
20150401,20.43,Melbourne,-37.81,144.96
20150402,14.82,Melbourne,-37.81,144.96
20150403,14.07,Melbourne,-37.81,144.96
20150404,15.64,Melbourne,-37.81,144.96
20150405,15.0,Melbourne,-37.81,144.96
20150406,12.99,Melbourne,-37.81,144.96
20150407,12.83,Melbourne,-37.81,144.96
20150408,14.25,Melbourne,-37.81,144.96
20150409,14.52,Melbourne,-37.81,144.96
20150410,13.99,Melbourne,-37.81,144.96
20150411,15.46,Melbourne,-37.81,144.96
20150412,13.99,Melbourne,-37.81,144.96
20150413,14.26,Melbourne,-37.81,144.96
20150414,16.92,Melbourne,-37.81,144.96
20150415,19.05,Melbourne,-37.81,144.96
20150416,14.9,Melbourne,-37.81,144.96
20150417,13.72,Melbourne,-37.81,144.96
20150418,15.14,Melbourne,-37.81,144.96
20150419,11.75,Melbourne,-37.81,144.96
20150420,11.77,Melbourne,-37.81,144.96
20150421,12.56,Melbourne,-37.81,144.96
20150422,14.06,Melbourne,-37.81,144.96
20150423,14.61,Melbourne,-37.81,144.96
20150424,15.04,Melbourne,-37.81,144.96
20150425,13.08,Melbourne,-37.81,144.96
20150426,12.19,Melbourne,-37.81,144.96
20150427,12.6,Melbourne,-37.81,144.96
20150428,12.86,Melbourne,-37.81,144.96
20150429,12.6,Melbourne,-37.81,144.96
20150430,12.41,Melbourne,-37.81,144.96
20150501,14.34,Melbourne,-37.81,144.96
20150502,15.74,Melbourne,-37.81,144.96
20150503,13.37,Melbourne,-37.81,144.96
20150504,15.07,Melbourne,-37.81,144.96
20150505,13.8,Melbourne,-37.81,144.96
20150506,11.93,Melbourne,-37.81,144.96
20150507,11.05,Melbourne,-37.81,144.96
20150508,12.69,Melbourne,-37.81,144.96
20150509,13.97,Melbourne,-37.81,144.96
20150510,13.03,Melbourne,-37.81,144.96
20150511,12.66,Melbourne,-37.81,144.96
20150512,12.05,Melbourne,-37.81,144.96
20150513,9.9,Melbourne,-37.81,144.96
20150514,11.8,Melbourne,-37.81,144.96
20150515,12.22,Melbourne,-37.81,144.96
20150516,12.25,Melbourne,-37.81,144.96
20150517,12.52,Melbourne,-37.81,144.96
20150518,12.11,Melbourne,-37.81,144.96
20150519,12.75,Melbourne,-37.81,144.96
20150520,13.15,Melbourne,-37.81,144.96
20150521,11.22,Melbourne,-37.81,144.96
20150522,10.81,Melbourne,-37.81,144.96
20150523,11.24,Melbourne,-37.81,144.96
20150524,9.8,Melbourne,-37.81,144.96
20150525,10.51,Melbourne,-37.81,144.96
20150526,10.34,Melbourne,-37.81,144.96
20150527,13.04,Melbourne,-37.81,144.96
20150528,13.91,Melbourne,-37.81,144.96
20150529,10.89,Melbourne,-37.81,144.96
20150530,11.42,Melbourne,-37.81,144.96
20150531,10.71,Melbourne,-37.81,144.96
20150601,8.6,Melbourne,-37.81,144.96
20150602,9.45,Melbourne,-37.81,144.96
20150603,9.12,Melbourne,-37.81,144.96
20150604,6.85,Melbourne,-37.81,144.96
20150605,9.45,Melbourne,-37.81,144.96
20150606,11.71,Melbourne,-37.81,144.96
20150607,11.4,Melbourne,-37.81,144.96
20150608,12.73,Melbourne,-37.81,144.96
20150609,10.56,Melbourne,-37.81,144.96
20150610,9.56,Melbourne,-37.81,144.96
20150611,10.2,Melbourne,-37.81,144.96
20150612,9.0,Melbourne,-37.81,144.96
20150613,11.07,Melbourne,-37.81,144.96
20150614,11.18,Melbourne,-37.81,144.96
20150615,10.45,Melbourne,-37.81,144.96
20150616,11.81,Melbourne,-37.81,144.96
20150617,11.04,Melbourne,-37.81,144.96
20150618,9.64,Melbourne,-37.81,144.96
20150619,7.68,Melbourne,-37.81,144.96
20150620,8.6,Melbourne,-37.81,144.96
20150621,8.01,Melbourne,-37.81,144.96
20150622,7.92,Melbourne,-37.81,144.96
20150623,12.05,Melbourne,-37.81,144.96
20150624,10.81,Melbourne,-37.81,144.96
20150625,10.44,Melbourne,-37.81,144.96
20150626,10.0,Melbourne,-37.81,144.96
20150627,9.27,Melbourne,-37.81,144.96
20150628,10.21,Melbourne,-37.81,144.96
20150629,9.82,Melbourne,-37.81,144.96
20150630,10.26,Melbourne,-37.81,144.96
20150701,9.81,Melbourne,-37.81,144.96
20150702,9.77,Melbourne,-37.81,144.96
20150703,8.02,Melbourne,-37.81,144.96
20150704,9.13,Melbourne,-37.81,144.96
20150705,9.06,Melbourne,-37.81,144.96
20150706,7.89,Melbourne,-37.81,144.96
20150707,8.63,Melbourne,-37.81,144.96
20150708,8.89,Melbourne,-37.81,144.96
20150709,9.21,Melbourne,-37.81,144.96
20150710,10.32,Melbourne,-37.81,144.96
20150711,8.84,Melbourne,-37.81,144.96
20150712,7.87,Melbourne,-37.81,144.96
20150713,9.74,Melbourne,-37.81,144.96
20150714,6.78,Melbourne,-37.81,144.96
20150715,6.28,Melbourne,-37.81,144.96
20150716,7.54,Melbourne,-37.81,144.96
20150717,8.65,Melbourne,-37.81,144.96
20150718,7.66,Melbourne,-37.81,144.96
20150719,7.19,Melbourne,-37.81,144.96
20150720,6.71,Melbourne,-37.81,144.96
20150721,10.21,Melbourne,-37.81,144.96
20150722,11.82,Melbourne,-37.81,144.96
20150723,8.74,Melbourne,-37.81,144.96
20150724,10.29,Melbourne,-37.81,144.96
20150725,9.55,Melbourne,-37.81,144.96
20150726,7.99,Melbourne,-37.81,144.96
20150727,8.31,Melbourne,-37.81,144.96
20150728,8.8,Melbourne,-37.81,144.96
20150729,8.08,Melbourne,-37.81,144.96
20150730,8.2,Melbourne,-37.81,144.96
20150731,7.74,Melbourne,-37.81,144.96
20150801,8.46,Melbourne,-37.81,144.96
20150802,8.6,Melbourne,-37.81,144.96
20150803,7.45,Melbourne,-37.81,144.96
20150804,7.05,Melbourne,-37.81,144.96
20150805,8.19,Melbourne,-37.81,144.96
20150806,9.21,Melbourne,-37.81,144.96
20150807,9.35,Melbourne,-37.81,144.96
20150808,9.13,Melbourne,-37.81,144.96
20150809,8.95,Melbourne,-37.81,144.96
20150810,9.26,Melbourne,-37.81,144.96
20150811,8.99,Melbourne,-37.81,144.96
20150812,9.06,Melbourne,-37.81,144.96
20150813,9.24,Melbourne,-37.81,144.96
20150814,10.27,Melbourne,-37.81,144.96
20150815,10.01,Melbourne,-37.81,144.96
20150816,10.23,Melbourne,-37.81,144.96
20150817,8.99,Melbourne,-37.81,144.96
20150818,7.75,Melbourne,-37.81,144.96
20150819,9.09,Melbourne,-37.81,144.96
20150820,9.55,Melbourne,-37.81,144.96
20150821,12.47,Melbourne,-37.81,144.96
20150822,11.93,Melbourne,-37.81,144.96
20150823,9.92,Melbourne,-37.81,144.96
20150824,9.74,Melbourne,-37.81,144.96
20150825,9.78,Melbourne,-37.81,144.96
20150826,9.79,Melbourne,-37.81,144.96
20150827,9.37,Melbourne,-37.81,144.96
20150828,9.35,Melbourne,-37.81,144.96
20150829,8.77,Melbourne,-37.81,144.96
20150830,9.08,Melbourne,-37.81,144.96
20150831,8.76,Melbourne,-37.81,144.96
20150901,9.89,Melbourne,-37.81,144.96
20150902,11.08,Melbourne,-37.81,144.96
20150903,10.32,Melbourne,-37.81,144.96
20150904,9.44,Melbourne,-37.81,144.96
20150905,10.12,Melbourne,-37.81,144.96
20150906,9.42,Melbourne,-37.81,144.96
20150907,8.64,Melbourne,-37.81,144.96
20150908,9.63,Melbourne,-37.81,144.96
20150909,10.44,Melbourne,-37.81,144.96
20150910,11.09,Melbourne,-37.81,144.96
20150911,11.56,Melbourne,-37.81,144.96
20150912,13.47,Melbourne,-37.81,144.96
20150913,15.44,Melbourne,-37.81,144.96
20150914,16.61,Melbourne,-37.81,144.96
20150915,11.93,Melbourne,-37.81,144.96
20150916,9.88,Melbourne,-37.81,144.96
20150917,10.61,Melbourne,-37.81,144.96
20150918,11.22,Melbourne,-37.81,144.96
20150919,12.36,Melbourne,-37.81,144.96
20150920,14.33,Melbourne,-37.81,144.96
20150921,12.16,Melbourne,-37.81,144.96
20150922,9.44,Melbourne,-37.81,144.96
20150923,8.98,Melbourne,-37.81,144.96
20150924,10.36,Melbourne,-37.81,144.96
20150925,11.52,Melbourne,-37.81,144.96
20150926,11.51,Melbourne,-37.81,144.96
20150927,13.02,Melbourne,-37.81,144.96
20150928,13.03,Melbourne,-37.81,144.96
20150929,11.52,Melbourne,-37.81,144.96
20150930,11.28,Melbourne,-37.81,144.96
20151001,13.35,Melbourne,-37.81,144.96
20151002,16.71,Melbourne,-37.81,144.96
20151003,19.8,Melbourne,-37.81,144.96
20151004,18.28,Melbourne,-37.81,144.96
20151005,20.96,Melbourne,-37.81,144.96
20151006,20.34,Melbourne,-37.81,144.96
20151007,12.45,Melbourne,-37.81,144.96
20151008,13.57,Melbourne,-37.81,144.96
20151009,18.61,Melbourne,-37.81,144.96
20151010,19.35,Melbourne,-37.81,144.96
20151011,17.51,Melbourne,-37.81,144.96
20151012,12.09,Melbourne,-37.81,144.96
20151013,13.05,Melbourne,-37.81,144.96
20151014,18.11,Melbourne,-37.81,144.96
20151015,21.74,Melbourne,-37.81,144.96
20151016,17.41,Melbourne,-37.81,144.96
20151017,14.13,Melbourne,-37.81,144.96
20151018,13.78,Melbourne,-37.81,144.96
20151019,15.58,Melbourne,-37.81,144.96
20151020,20.37,Melbourne,-37.81,144.96
20151021,15.36,Melbourne,-37.81,144.96
20151022,12.83,Melbourne,-37.81,144.96
20151023,12.18,Melbourne,-37.81,144.96
20151024,13.11,Melbourne,-37.81,144.96
20151025,19.8,Melbourne,-37.81,144.96
20151026,14.46,Melbourne,-37.81,144.96
20151027,15.38,Melbourne,-37.81,144.96
20151028,17.92,Melbourne,-37.81,144.96
20151029,17.61,Melbourne,-37.81,144.96
20151030,18.88,Melbourne,-37.81,144.96
20151031,19.5,Melbourne,-37.81,144.96
20151101,19.56,Melbourne,-37.81,144.96
20151102,13.67,Melbourne,-37.81,144.96
20151103,14.23,Melbourne,-37.81,144.96
20151104,18.19,Melbourne,-37.81,144.96
20151105,19.1,Melbourne,-37.81,144.96
20151106,16.23,Melbourne,-37.81,144.96
20151107,13.11,Melbourne,-37.81,144.96
20151108,15.85,Melbourne,-37.81,144.96
20151109,22.21,Melbourne,-37.81,144.96
20151110,13.69,Melbourne,-37.81,144.96
20151111,14.98,Melbourne,-37.81,144.96
20151112,17.15,Melbourne,-37.81,144.96
20151113,14.75,Melbourne,-37.81,144.96
20151114,14.42,Melbourne,-37.81,144.96
20151115,15.05,Melbourne,-37.81,144.96
20151116,18.36,Melbourne,-37.81,144.96
20151117,21.09,Melbourne,-37.81,144.96
20151118,20.54,Melbourne,-37.81,144.96
20151119,21.6,Melbourne,-37.81,144.96
20151120,16.61,Melbourne,-37.81,144.96
20151121,14.47,Melbourne,-37.81,144.96
20151122,15.77,Melbourne,-37.81,144.96
20151123,16.2,Melbourne,-37.81,144.96
20151124,17.76,Melbourne,-37.81,144.96
20151125,21.82,Melbourne,-37.81,144.96
20151126,13.47,Melbourne,-37.81,144.96
20151127,14.11,Melbourne,-37.81,144.96
20151128,15.68,Melbourne,-37.81,144.96
20151129,15.21,Melbourne,-37.81,144.96
20151130,21.0,Melbourne,-37.81,144.96
20151201,16.35,Melbourne,-37.81,144.96
20151202,13.7,Melbourne,-37.81,144.96
20151203,16.1,Melbourne,-37.81,144.96
20151204,20.25,Melbourne,-37.81,144.96
20151205,20.44,Melbourne,-37.81,144.96
20151206,21.9,Melbourne,-37.81,144.96
20151207,22.29,Melbourne,-37.81,144.96
20151208,24.36,Melbourne,-37.81,144.96
20151209,18.67,Melbourne,-37.81,144.96
20151210,18.17,Melbourne,-37.81,144.96
20151211,15.04,Melbourne,-37.81,144.96
20151212,14.21,Melbourne,-37.81,144.96
20151213,18.17,Melbourne,-37.81,144.96
20151214,17.83,Melbourne,-37.81,144.96
20151215,18.91,Melbourne,-37.81,144.96
20151216,20.8,Melbourne,-37.81,144.96
20151217,25.87,Melbourne,-37.81,144.96
20151218,28.16,Melbourne,-37.81,144.96
20151219,30.42,Melbourne,-37.81,144.96
20151220,26.52,Melbourne,-37.81,144.96
20151221,16.62,Melbourne,-37.81,144.96
20151222,17.82,Melbourne,-37.81,144.96
20151223,20.76,Melbourne,-37.81,144.96
20151224,24.82,Melbourne,-37.81,144.96
20151225,26.46,Melbourne,-37.81,144.96
20151226,16.98,Melbourne,-37.81,144.96
20151227,15.31,Melbourne,-37.81,144.96
20151228,16.76,Melbourne,-37.81,144.96
20151229,17.91,Melbourne,-37.81,144.96
20151230,23.48,Melbourne,-37.81,144.96
20151231,27.23,Melbourne,-37.81,144.96
20160101,21.39,Melbourne,-37.81,144.96
20160102,20.01,Melbourne,-37.81,144.96
20160103,19.07,Melbourne,-37.81,144.96
20160104,18.8,Melbourne,-37.81,144.96
20160105,20.0,Melbourne,-37.81,144.96
20160106,19.77,Melbourne,-37.81,144.96
20160107,18.24,Melbourne,-37.81,144.96
20160108,17.99,Melbourne,-37.81,144.96
20160109,17.63,Melbourne,-37.81,144.96
20160110,20.65,Melbourne,-37.81,144.96
20160111,23.53,Melbourne,-37.81,144.96
20160112,20.56,Melbourne,-37.81,144.96
20160113,27.09,Melbourne,-37.81,144.96
20160114,18.09,Melbourne,-37.81,144.96
20160115,16.37,Melbourne,-37.81,144.96
20160116,17.1,Melbourne,-37.81,144.96
20160117,23.39,Melbourne,-37.81,144.96
20160118,25.36,Melbourne,-37.81,144.96
20160119,22.24,Melbourne,-37.81,144.96
20160120,21.22,Melbourne,-37.81,144.96
20160121,20.04,Melbourne,-37.81,144.96
20160122,18.36,Melbourne,-37.81,144.96
20160123,18.49,Melbourne,-37.81,144.96
20160124,18.2,Melbourne,-37.81,144.96
20160125,18.29,Melbourne,-37.81,144.96
20160126,20.94,Melbourne,-37.81,144.96
20160127,22.36,Melbourne,-37.81,144.96
20160128,21.76,Melbourne,-37.81,144.96
20160129,14.38,Melbourne,-37.81,144.96
20160130,17.1,Melbourne,-37.81,144.96
20160131,17.73,Melbourne,-37.81,144.96
20160201,18.23,Melbourne,-37.81,144.96
20160202,21.93,Melbourne,-37.81,144.96
20160203,18.71,Melbourne,-37.81,144.96
20160204,17.98,Melbourne,-37.81,144.96
20160205,20.42,Melbourne,-37.81,144.96
20160206,22.75,Melbourne,-37.81,144.96
20160207,23.93,Melbourne,-37.81,144.96
20160208,19.23,Melbourne,-37.81,144.96
20160209,18.84,Melbourne,-37.81,144.96
20160210,18.21,Melbourne,-37.81,144.96
20160211,18.65,Melbourne,-37.81,144.96
20160212,20.09,Melbourne,-37.81,144.96
20160213,22.98,Melbourne,-37.81,144.96
20160214,19.13,Melbourne,-37.81,144.96
20160215,19.25,Melbourne,-37.81,144.96
20160216,16.18,Melbourne,-37.81,144.96
20160217,16.95,Melbourne,-37.81,144.96
20160218,17.68,Melbourne,-37.81,144.96
20160219,16.47,Melbourne,-37.81,144.96
20160220,16.39,Melbourne,-37.81,144.96
20160221,18.69,Melbourne,-37.81,144.96
20160222,22.05,Melbourne,-37.81,144.96
20160223,25.94,Melbourne,-37.81,144.96
20160224,23.47,Melbourne,-37.81,144.96
20160225,22.25,Melbourne,-37.81,144.96
20160226,18.59,Melbourne,-37.81,144.96
20160227,19.0,Melbourne,-37.81,144.96
20160228,18.4,Melbourne,-37.81,144.96
20160229,18.86,Melbourne,-37.81,144.96
20160301,23.21,Melbourne,-37.81,144.96
20160302,23.54,Melbourne,-37.81,144.96
20160303,19.3,Melbourne,-37.81,144.96
20160304,24.44,Melbourne,-37.81,144.96
20160305,19.21,Melbourne,-37.81,144.96
20160306,19.51,Melbourne,-37.81,144.96
20160307,20.85,Melbourne,-37.81,144.96
20160308,27.31,Melbourne,-37.81,144.96
20160309,23.86,Melbourne,-37.81,144.96
20160310,18.68,Melbourne,-37.81,144.96
20160311,21.73,Melbourne,-37.81,144.96
20160312,20.46,Melbourne,-37.81,144.96
20160313,19.49,Melbourne,-37.81,144.96
20160314,17.54,Melbourne,-37.81,144.96
20160315,19.51,Melbourne,-37.81,144.96
20160316,22.1,Melbourne,-37.81,144.96
20160317,24.97,Melbourne,-37.81,144.96
20160318,17.47,Melbourne,-37.81,144.96
20160319,15.17,Melbourne,-37.81,144.96
20160320,15.72,Melbourne,-37.81,144.96
20160321,16.29,Melbourne,-37.81,144.96
20160322,17.59,Melbourne,-37.81,144.96
20160323,19.45,Melbourne,-37.81,144.96
20160324,17.42,Melbourne,-37.81,144.96
20160325,16.78,Melbourne,-37.81,144.96
20160326,16.8,Melbourne,-37.81,144.96
20160327,15.19,Melbourne,-37.81,144.96
20160328,14.86,Melbourne,-37.81,144.96
20160329,15.29,Melbourne,-37.81,144.96
20160330,15.48,Melbourne,-37.81,144.96
20160331,17.22,Melbourne,-37.81,144.96
20160401,19.03,Melbourne,-37.81,144.96
