Date,Temp_C,Location_ID,Latitude,Longitude
20150101,3.62,Montpellier,43.61,3.87
20150102,6.25,Montpellier,43.61,3.87
20150103,9.25,Montpellier,43.61,3.87
20150104,9.69,Montpellier,43.61,3.87
20150105,6.07,Montpellier,43.61,3.87
20150106,6.02,Montpellier,43.61,3.87
20150107,6.23,Montpellier,43.61,3.87
20150108,7.31,Montpellier,43.61,3.87
20150109,10.12,Montpellier,43.61,3.87
20150110,11.89,Montpellier,43.61,3.87
20150111,9.03,Montpellier,43.61,3.87
20150112,6.28,Montpellier,43.61,3.87
20150113,9.73,Montpellier,43.61,3.87
20150114,9.42,Montpellier,43.61,3.87
20150115,10.41,Montpellier,43.61,3.87
20150116,9.79,Montpellier,43.61,3.87
20150117,6.3,Montpellier,43.61,3.87
20150118,6.11,Montpellier,43.61,3.87
20150119,6.65,Montpellier,43.61,3.87
20150120,5.39,Montpellier,43.61,3.87
20150121,4.67,Montpellier,43.61,3.87
20150122,5.27,Montpellier,43.61,3.87
20150123,4.41,Montpellier,43.61,3.87
20150124,4.28,Montpellier,43.61,3.87
20150125,4.41,Montpellier,43.61,3.87
20150126,5.46,Montpellier,43.61,3.87
20150127,6.5,Montpellier,43.61,3.87
20150128,6.05,Montpellier,43.61,3.87
20150129,8.53,Montpellier,43.61,3.87
20150130,6.17,Montpellier,43.61,3.87
20150131,5.43,Montpellier,43.61,3.87
20150201,4.45,Montpellier,43.61,3.87
20150202,3.76,Montpellier,43.61,3.87
20150203,2.22,Montpellier,43.61,3.87
20150204,2.47,Montpellier,43.61,3.87
20150205,1.92,Montpellier,43.61,3.87
20150206,2.34,Montpellier,43.61,3.87
20150207,3.93,Montpellier,43.61,3.87
20150208,3.62,Montpellier,43.61,3.87
20150209,4.72,Montpellier,43.61,3.87
20150210,5.93,Montpellier,43.61,3.87
20150211,6.79,Montpellier,43.61,3.87
20150212,8.25,Montpellier,43.61,3.87
20150213,9.57,Montpellier,43.61,3.87
20150214,8.06,Montpellier,43.61,3.87
20150215,7.26,Montpellier,43.61,3.87
20150216,7.78,Montpellier,43.61,3.87
20150217,8.11,Montpellier,43.61,3.87
20150218,7.28,Montpellier,43.61,3.87
20150219,7.17,Montpellier,43.61,3.87
20150220,7.86,Montpellier,43.61,3.87
20150221,7.59,Montpellier,43.61,3.87
20150222,5.16,Montpellier,43.61,3.87
20150223,8.08,Montpellier,43.61,3.87
20150224,7.4,Montpellier,43.61,3.87
20150225,7.84,Montpellier,43.61,3.87
20150226,9.44,Montpellier,43.61,3.87
20150227,8.26,Montpellier,43.61,3.87
20150228,6.5,Montpellier,43.61,3.87
20150301,10.4,Montpellier,43.61,3.87
20150302,11.94,Montpellier,43.61,3.87
20150303,10.55,Montpellier,43.61,3.87
20150304,8.6,Montpellier,43.61,3.87
20150305,7.44,Montpellier,43.61,3.87
20150306,8.39,Montpellier,43.61,3.87
20150307,9.1,Montpellier,43.61,3.87
20150308,9.49,Montpellier,43.61,3.87
20150309,10.29,Montpellier,43.61,3.87
20150310,11.8,Montpellier,43.61,3.87
20150311,13.38,Montpellier,43.61,3.87
20150312,10.48,Montpellier,43.61,3.87
20150313,9.88,Montpellier,43.61,3.87
20150314,8.27,Montpellier,43.61,3.87
20150315,6.23,Montpellier,43.61,3.87
20150316,8.82,Montpellier,43.61,3.87
20150317,10.12,Montpellier,43.61,3.87
20150318,11.92,Montpellier,43.61,3.87
20150319,12.6,Montpellier,43.61,3.87
20150320,11.5,Montpellier,43.61,3.87
20150321,11.03,Montpellier,43.61,3.87
20150322,9.99,Montpellier,43.61,3.87
20150323,10.72,Montpellier,43.61,3.87
20150324,11.27,Montpellier,43.61,3.87
20150325,8.32,Montpellier,43.61,3.87
20150326,9.16,Montpellier,43.61,3.87
20150327,11.04,Montpellier,43.61,3.87
20150328,12.16,Montpellier,43.61,3.87
20150329,12.26,Montpellier,43.61,3.87
20150330,13.4,Montpellier,43.61,3.87
20150331,13.63,Montpellier,43.61,3.87
20150401,10.63,Montpellier,43.61,3.87
20150402,10.9,Montpellier,43.61,3.87
20150403,12.82,Montpellier,43.61,3.87
20150404,11.85,Montpellier,43.61,3.87
20150405,9.79,Montpellier,43.61,3.87
20150406,9.73,Montpellier,43.61,3.87
20150407,10.17,Montpellier,43.61,3.87
20150408,10.82,Montpellier,43.61,3.87
20150409,11.03,Montpellier,43.61,3.87
20150410,11.53,Montpellier,43.61,3.87
20150411,12.65,Montpellier,43.61,3.87
20150412,14.15,Montpellier,43.61,3.87
20150413,15.87,Montpellier,43.61,3.87
20150414,17.43,Montpellier,43.61,3.87
20150415,14.52,Montpellier,43.61,3.87
20150416,14.45,Montpellier,43.61,3.87
20150417,15.53,Montpellier,43.61,3.87
20150418,15.09,Montpellier,43.61,3.87
20150419,12.85,Montpellier,43.61,3.87
20150420,14.34,Montpellier,43.61,3.87
20150421,15.72,Montpellier,43.61,3.87
20150422,14.39,Montpellier,43.61,3.87
20150423,16.01,Montpellier,43.61,3.87
20150424,16.21,Montpellier,43.61,3.87
20150425,15.89,Montpellier,43.61,3.87
20150426,15.5,Montpellier,43.61,3.87
20150427,14.18,Montpellier,43.61,3.87
20150428,13.06,Montpellier,43.61,3.87
20150429,12.75,Montpellier,43.61,3.87
20150430,14.23,Montpellier,43.61,3.87
20150501,16.36,Montpellier,43.61,3.87
20150502,17.08,Montpellier,43.61,3.87
20150503,17.58,Montpellier,43.61,3.87
20150504,16.63,Montpellier,43.61,3.87
20150505,17.84,Montpellier,43.61,3.87
20150506,17.28,Montpellier,43.61,3.87
20150507,16.18,Montpellier,43.61,3.87
20150508,17.16,Montpellier,43.61,3.87
20150509,18.06,Montpellier,43.61,3.87
20150510,18.79,Montpellier,43.61,3.87
20150511,17.96,Montpellier,43.61,3.87
20150512,17.13,Montpellier,43.61,3.87
20150513,18.42,Montpellier,43.61,3.87
20150514,18.79,Montpellier,43.61,3.87
20150515,14.55,Montpellier,43.61,3.87
20150516,17.99,Montpellier,43.61,3.87
20150517,18.77,Montpellier,43.61,3.87
20150518,18.42,Montpellier,43.61,3.87
20150519,15.5,Montpellier,43.61,3.87
20150520,13.67,Montpellier,43.61,3.87
20150521,14.44,Montpellier,43.61,3.87
20150522,16.59,Montpellier,43.61,3.87
20150523,17.56,Montpellier,43.61,3.87
20150524,19.02,Montpellier,43.61,3.87
20150525,19.15,Montpellier,43.61,3.87
20150526,17.69,Montpellier,43.61,3.87
20150527,17.67,Montpellier,43.61,3.87
20150528,18.84,Montpellier,43.61,3.87
20150529,19.65,Montpellier,43.61,3.87
20150530,20.21,Montpellier,43.61,3.87
20150531,20.04,Montpellier,43.61,3.87
20150601,20.42,Montpellier,43.61,3.87
20150602,21.46,Montpellier,43.61,3.87
20150603,22.84,Montpellier,43.61,3.87
20150604,23.51,Montpellier,43.61,3.87
20150605,22.86,Montpellier,43.61,3.87
20150606,25.04,Montpellier,43.61,3.87
20150607,25.99,Montpellier,43.61,3.87
20150608,25.51,Montpellier,43.61,3.87
20150609,23.4,Montpellier,43.61,3.87
20150610,21.61,Montpellier,43.61,3.87
20150611,22.98,Montpellier,43.61,3.87
20150612,20.86,Montpellier,43.61,3.87
20150613,20.61,Montpellier,43.61,3.87
20150614,21.45,Montpellier,43.61,3.87
20150615,22.08,Montpellier,43.61,3.87
20150616,20.91,Montpellier,43.61,3.87
20150617,21.9,Montpellier,43.61,3.87
