Date,Temp_C,Location_ID,Latitude,Longitude
20150101,21.87,Mumbai,19.07,72.87
20150102,21.64,Mumbai,19.07,72.87
20150103,21.8,Mumbai,19.07,72.87
20150104,23.61,Mumbai,19.07,72.87
20150105,23.87,Mumbai,19.07,72.87
20150106,23.31,Mumbai,19.07,72.87
20150107,21.99,Mumbai,19.07,72.87
20150108,21.65,Mumbai,19.07,72.87
20150109,22.22,Mumbai,19.07,72.87
20150110,22.16,Mumbai,19.07,72.87
20150111,22.21,Mumbai,19.07,72.87
20150112,22.31,Mumbai,19.07,72.87
20150113,21.89,Mumbai,19.07,72.87
20150114,22.01,Mumbai,19.07,72.87
20150115,21.9,Mumbai,19.07,72.87
20150116,22.45,Mumbai,19.07,72.87
20150117,22.91,Mumbai,19.07,72.87
20150118,22.97,Mumbai,19.07,72.87
20150119,23.37,Mumbai,19.07,72.87
20150120,22.8,Mumbai,19.07,72.87
20150121,22.95,Mumbai,19.07,72.87
20150122,22.82,Mumbai,19.07,72.87
20150123,23.08,Mumbai,19.07,72.87
20150124,23.86,Mumbai,19.07,72.87
20150125,24.2,Mumbai,19.07,72.87
20150126,22.79,Mumbai,19.07,72.87
20150127,22.37,Mumbai,19.07,72.87
20150128,22.79,Mumbai,19.07,72.87
20150129,24.11,Mumbai,19.07,72.87
20150130,25.46,Mumbai,19.07,72.87
20150131,25.92,Mumbai,19.07,72.87
20150201,24.84,Mumbai,19.07,72.87
20150202,24.5,Mumbai,19.07,72.87
20150203,25.65,Mumbai,19.07,72.87
20150204,26.36,Mumbai,19.07,72.87
20150205,26.03,Mumbai,19.07,72.87
20150206,25.5,Mumbai,19.07,72.87
20150207,25.03,Mumbai,19.07,72.87
20150208,23.63,Mumbai,19.07,72.87
20150209,24.68,Mumbai,19.07,72.87
20150210,25.94,Mumbai,19.07,72.87
20150211,25.83,Mumbai,19.07,72.87
20150212,25.62,Mumbai,19.07,72.87
20150213,26.17,Mumbai,19.07,72.87
20150214,25.85,Mumbai,19.07,72.87
20150215,25.92,Mumbai,19.07,72.87
20150216,26.61,Mumbai,19.07,72.87
20150217,26.6,Mumbai,19.07,72.87
20150218,25.42,Mumbai,19.07,72.87
20150219,25.99,Mumbai,19.07,72.87
20150220,26.4,Mumbai,19.07,72.87
20150221,28.81,Mumbai,19.07,72.87
20150222,29.42,Mumbai,19.07,72.87
20150223,28.38,Mumbai,19.07,72.87
20150224,27.67,Mumbai,19.07,72.87
20150225,26.17,Mumbai,19.07,72.87
20150226,24.86,Mumbai,19.07,72.87
20150227,24.56,Mumbai,19.07,72.87
20150228,24.79,Mumbai,19.07,72.87
20150301,22.17,Mumbai,19.07,72.87
20150302,23.18,Mumbai,19.07,72.87
20150303,21.5,Mumbai,19.07,72.87
20150304,21.58,Mumbai,19.07,72.87
20150305,23.2,Mumbai,19.07,72.87
20150306,25.04,Mumbai,19.07,72.87
20150307,26.01,Mumbai,19.07,72.87
20150308,25.47,Mumbai,19.07,72.87
20150309,26.35,Mumbai,19.07,72.87
20150310,28.34,Mumbai,19.07,72.87
20150311,28.81,Mumbai,19.07,72.87
20150312,29.87,Mumbai,19.07,72.87
20150313,28.96,Mumbai,19.07,72.87
20150314,28.63,Mumbai,19.07,72.87
20150315,26.61,Mumbai,19.07,72.87
20150316,25.53,Mumbai,19.07,72.87
20150317,25.93,Mumbai,19.07,72.87
20150318,27.9,Mumbai,19.07,72.87
20150319,29.91,Mumbai,19.07,72.87
20150320,31.0,Mumbai,19.07,72.87
20150321,31.39,Mumbai,19.07,72.87
20150322,31.51,Mumbai,19.07,72.87
20150323,31.31,Mumbai,19.07,72.87
20150324,31.2,Mumbai,19.07,72.87
20150325,32.92,Mumbai,19.07,72.87
20150326,31.64,Mumbai,19.07,72.87
20150327,31.73,Mumbai,19.07,72.87
20150328,31.13,Mumbai,19.07,72.87
20150329,30.23,Mumbai,19.07,72.87
20150330,30.79,Mumbai,19.07,72.87
20150331,29.12,Mumbai,19.07,72.87
20150401,28.77,Mumbai,19.07,72.87
20150402,28.14,Mumbai,19.07,72.87
20150403,28.24,Mumbai,19.07,72.87
20150404,27.88,Mumbai,19.07,72.87
20150405,28.13,Mumbai,19.07,72.87
20150406,27.9,Mumbai,19.07,72.87
20150407,28.06,Mumbai,19.07,72.87
20150408,29.19,Mumbai,19.07,72.87
20150409,29.83,Mumbai,19.07,72.87
20150410,29.6,Mumbai,19.07,72.87
20150411,29.01,Mumbai,19.07,72.87
20150412,28.92,Mumbai,19.07,72.87
20150413,28.06,Mumbai,19.07,72.87
20150414,28.42,Mumbai,19.07,72.87
20150415,30.36,Mumbai,19.07,72.87
20150416,31.64,Mumbai,19.07,72.87
20150417,31.59,Mumbai,19.07,72.87
20150418,31.99,Mumbai,19.07,72.87
20150419,32.56,Mumbai,19.07,72.87
20150420,32.95,Mumbai,19.07,72.87
20150421,32.28,Mumbai,19.07,72.87
20150422,31.47,Mumbai,19.07,72.87
20150423,31.18,Mumbai,19.07,72.87
20150424,30.98,Mumbai,19.07,72.87
20150425,30.25,Mumbai,19.07,72.87
20150426,30.27,Mumbai,19.07,72.87
20150427,31.21,Mumbai,19.07,72.87
20150428,31.34,Mumbai,19.07,72.87
20150429,31.19,Mumbai,19.07,72.87
20150430,30.69,Mumbai,19.07,72.87
20150501,30.25,Mumbai,19.07,72.87
20150502,30.76,Mumbai,19.07,72.87
20150503,30.84,Mumbai,19.07,72.87
20150504,31.06,Mumbai,19.07,72.87
20150505,31.83,Mumbai,19.07,72.87
20150506,32.75,Mumbai,19.07,72.87
20150507,32.39,Mumbai,19.07,72.87
20150508,32.17,Mumbai,19.07,72.87
20150509,32.36,Mumbai,19.07,72.87
20150510,32.11,Mumbai,19.07,72.87
20150511,32.14,Mumbai,19.07,72.87
20150512,31.43,Mumbai,19.07,72.87
20150513,30.28,Mumbai,19.07,72.87
20150514,31.18,Mumbai,19.07,72.87
20150515,31.86,Mumbai,19.07,72.87
20150516,32.33,Mumbai,19.07,72.87
20150517,31.13,Mumbai,19.07,72.87
20150518,31.37,Mumbai,19.07,72.87
20150519,30.62,Mumbai,19.07,72.87
20150520,30.93,Mumbai,19.07,72.87
20150521,30.8,Mumbai,19.07,72.87
20150522,30.64,Mumbai,19.07,72.87
20150523,30.68,Mumbai,19.07,72.87
20150524,31.26,Mumbai,19.07,72.87
20150525,30.73,Mumbai,19.07,72.87
20150526,31.09,Mumbai,19.07,72.87
20150527,31.5,Mumbai,19.07,72.87
20150528,31.69,Mumbai,19.07,72.87
20150529,31.63,Mumbai,19.07,72.87
20150530,31.41,Mumbai,19.07,72.87
20150531,32.29,Mumbai,19.07,72.87
20150601,30.79,Mumbai,19.07,72.87
20150602,30.83,Mumbai,19.07,72.87
20150603,31.23,Mumbai,19.07,72.87
20150604,31.54,Mumbai,19.07,72.87
20150605,29.87,Mumbai,19.07,72.87
20150606,30.19,Mumbai,19.07,72.87
20150607,29.85,Mumbai,19.07,72.87
20150608,29.59,Mumbai,19.07,72.87
20150609,29.01,Mumbai,19.07,72.87
20150610,28.87,Mumbai,19.07,72.87
20150611,29.12,Mumbai,19.07,72.87
20150612,27.83,Mumbai,19.07,72.87
20150613,27.63,Mumbai,19.07,72.87
