Date,Temp_C,Location_ID,Latitude,Longitude
20150101,17.97,Pune,18.52,73.85
20150102,17.65,Pune,18.52,73.85
20150103,17.92,Pune,18.52,73.85
20150104,18.99,Pune,18.52,73.85
20150105,19.6,Pune,18.52,73.85
20150106,19.04,Pune,18.52,73.85
20150107,18.26,Pune,18.52,73.85
20150108,17.51,Pune,18.52,73.85
20150109,17.47,Pune,18.52,73.85
20150110,17.05,Pune,18.52,73.85
20150111,16.89,Pune,18.52,73.85
20150112,17.47,Pune,18.52,73.85
20150113,17.87,Pune,18.52,73.85
20150114,18.65,Pune,18.52,73.85
20150115,18.58,Pune,18.52,73.85
20150116,18.84,Pune,18.52,73.85
20150117,19.23,Pune,18.52,73.85
20150118,19.02,Pune,18.52,73.85
20150119,19.48,Pune,18.52,73.85
20150120,18.84,Pune,18.52,73.85
20150121,18.66,Pune,18.52,73.85
20150122,19.01,Pune,18.52,73.85
20150123,19.26,Pune,18.52,73.85
20150124,20.79,Pune,18.52,73.85
20150125,21.1,Pune,18.52,73.85
20150126,19.8,Pune,18.52,73.85
20150127,19.53,Pune,18.52,73.85
20150128,20.15,Pune,18.52,73.85
20150129,20.64,Pune,18.52,73.85
20150130,21.09,Pune,18.52,73.85
20150131,21.71,Pune,18.52,73.85
20150201,21.19,Pune,18.52,73.85
20150202,21.66,Pune,18.52,73.85
20150203,21.96,Pune,18.52,73.85
20150204,22.19,Pune,18.52,73.85
20150205,22.2,Pune,18.52,73.85
20150206,21.82,Pune,18.52,73.85
20150207,21.4,Pune,18.52,73.85
20150208,19.99,Pune,18.52,73.85
20150209,21.14,Pune,18.52,73.85
20150210,23.55,Pune,18.52,73.85
20150211,22.56,Pune,18.52,73.85
20150212,22.08,Pune,18.52,73.85
20150213,22.24,Pune,18.52,73.85
20150214,22.28,Pune,18.52,73.85
20150215,22.67,Pune,18.52,73.85
20150216,23.12,Pune,18.52,73.85
20150217,23.18,Pune,18.52,73.85
20150218,22.18,Pune,18.52,73.85
20150219,22.55,Pune,18.52,73.85
20150220,23.16,Pune,18.52,73.85
20150221,24.07,Pune,18.52,73.85
20150222,24.72,Pune,18.52,73.85
20150223,24.12,Pune,18.52,73.85
20150224,24.38,Pune,18.52,73.85
20150225,23.3,Pune,18.52,73.85
20150226,21.7,Pune,18.52,73.85
20150227,20.88,Pune,18.52,73.85
20150228,20.87,Pune,18.52,73.85
20150301,19.9,Pune,18.52,73.85
20150302,19.17,Pune,18.52,73.85
20150303,18.01,Pune,18.52,73.85
20150304,18.13,Pune,18.52,73.85
20150305,20.25,Pune,18.52,73.85
20150306,22.26,Pune,18.52,73.85
20150307,22.94,Pune,18.52,73.85
20150308,23.24,Pune,18.52,73.85
20150309,23.68,Pune,18.52,73.85
20150310,25.59,Pune,18.52,73.85
20150311,25.12,Pune,18.52,73.85
20150312,26.24,Pune,18.52,73.85
20150313,26.42,Pune,18.52,73.85
20150314,26.14,Pune,18.52,73.85
20150315,23.92,Pune,18.52,73.85
20150316,23.31,Pune,18.52,73.85
20150317,23.95,Pune,18.52,73.85
20150318,25.72,Pune,18.52,73.85
20150319,27.48,Pune,18.52,73.85
20150320,28.02,Pune,18.52,73.85
20150321,28.55,Pune,18.52,73.85
20150322,28.96,Pune,18.52,73.85
20150323,28.6,Pune,18.52,73.85
20150324,29.31,Pune,18.52,73.85
20150325,29.67,Pune,18.52,73.85
20150326,30.09,Pune,18.52,73.85
20150327,29.49,Pune,18.52,73.85
20150328,29.1,Pune,18.52,73.85
20150329,27.79,Pune,18.52,73.85
20150330,27.81,Pune,18.52,73.85
20150331,27.32,Pune,18.52,73.85
20150401,27.39,Pune,18.52,73.85
20150402,26.29,Pune,18.52,73.85
20150403,25.55,Pune,18.52,73.85
20150404,24.67,Pune,18.52,73.85
20150405,25.83,Pune,18.52,73.85
20150406,26.12,Pune,18.52,73.85
20150407,25.78,Pune,18.52,73.85
20150408,27.57,Pune,18.52,73.85
20150409,28.33,Pune,18.52,73.85
20150410,27.91,Pune,18.52,73.85
20150411,27.66,Pune,18.52,73.85
20150412,26.11,Pune,18.52,73.85
20150413,25.23,Pune,18.52,73.85
20150414,26.1,Pune,18.52,73.85
20150415,27.81,Pune,18.52,73.85
20150416,28.91,Pune,18.52,73.85
20150417,29.74,Pune,18.52,73.85
20150418,29.79,Pune,18.52,73.85
20150419,31.12,Pune,18.52,73.85
20150420,31.96,Pune,18.52,73.85
20150421,31.47,Pune,18.52,73.85
20150422,29.97,Pune,18.52,73.85
20150423,29.22,Pune,18.52,73.85
20150424,28.23,Pune,18.52,73.85
20150425,27.53,Pune,18.52,73.85
20150426,28.2,Pune,18.52,73.85
20150427,29.57,Pune,18.52,73.85
20150428,29.56,Pune,18.52,73.85
20150429,29.23,Pune,18.52,73.85
20150430,28.67,Pune,18.52,73.85
20150501,28.3,Pune,18.52,73.85
20150502,28.57,Pune,18.52,73.85
20150503,28.27,Pune,18.52,73.85
20150504,29.39,Pune,18.52,73.85
20150505,30.62,Pune,18.52,73.85
20150506,31.01,Pune,18.52,73.85
20150507,30.4,Pune,18.52,73.85
20150508,30.9,Pune,18.52,73.85
20150509,30.52,Pune,18.52,73.85
20150510,30.25,Pune,18.52,73.85
20150511,30.74,Pune,18.52,73.85
20150512,29.68,Pune,18.52,73.85
20150513,26.79,Pune,18.52,73.85
20150514,27.25,Pune,18.52,73.85
20150515,27.75,Pune,18.52,73.85
20150516,29.61,Pune,18.52,73.85
20150517,28.66,Pune,18.52,73.85
20150518,28.64,Pune,18.52,73.85
20150519,27.87,Pune,18.52,73.85
20150520,28.28,Pune,18.52,73.85
20150521,27.99,Pune,18.52,73.85
20150522,27.54,Pune,18.52,73.85
20150523,26.86,Pune,18.52,73.85
20150524,27.83,Pune,18.52,73.85
20150525,27.31,Pune,18.52,73.85
20150526,27.9,Pune,18.52,73.85
20150527,28.51,Pune,18.52,73.85
20150528,28.72,Pune,18.52,73.85
20150529,28.68,Pune,18.52,73.85
20150530,28.35,Pune,18.52,73.85
20150531,29.22,Pune,18.52,73.85
20150601,27.63,Pune,18.52,73.85
20150602,27.2,Pune,18.52,73.85
20150603,28.65,Pune,18.52,73.85
20150604,29.19,Pune,18.52,73.85
20150605,26.33,Pune,18.52,73.85
20150606,27.37,Pune,18.52,73.85
20150607,26.96,Pune,18.52,73.85
20150608,26.29,Pune,18.52,73.85
20150609,25.87,Pune,18.52,73.85
20150610,25.98,Pune,18.52,73.85
20150611,26.15,Pune,18.52,73.85
20150612,24.68,Pune,18.52,73.85
20150613,23.96,Pune,18.52,73.85
