N,T,version,serial_time,parallel_time,block_time,parallel_speedup,block_speedup,serial_memory_MB,parallel_memory_MB,block_memory_MB,correct_parallel,correct_block,blas_mode,dataset
10,3654,baseline,0.04585409164428711,0.0369110107421875,0.07367920875549316,1.2422876188507648,0.6223477751566985,383.66796875,384.046875,383.796875,True,True,multi,global_temp
100,3654,baseline,0.0524439811706543,0.20013642311096191,0.017179012298583984,0.26204116349964796,3.052793738029811,384.19921875,387.12109375,384.33984375,True,True,multi,global_temp
500,3654,baseline,0.03515052795410156,0.490675687789917,0.08130741119384766,0.07163698717665277,0.43231640803687676,387.28125,403.05859375,387.3984375,True,True,multi,global_temp
1000,3654,baseline,0.04939150810241699,0.7802619934082031,0.06518936157226562,0.06330118411467628,0.7576620925741705,417.23046875,453.74609375,426.8125,True,True,multi,global_temp
1500,3654,baseline,0.07045292854309082,0.6589858531951904,0.08574628829956055,0.10691113959653212,0.8216440611045306,470.609375,536.0,525.98046875,True,True,multi,global_temp
2000,3654,baseline,0.10611319541931152,0.8043544292449951,0.10702347755432129,0.13192343022082237,0.9914945565607534,537.04296875,627.84375,611.55078125,True,True,multi,global_temp
2500,3654,baseline,0.11846709251403809,0.8243961334228516,0.1612563133239746,0.14370165956767486,0.7346508801551841,613.41015625,766.140625,684.10546875,True,True,multi,global_temp
3000,3654,baseline,0.14162755012512207,0.8656892776489258,0.18173480033874512,0.16360090598529756,0.7793089153048012,625.0390625,798.74609375,717.57421875,True,True,multi,global_temp
3500,3654,baseline,0.1717851161956787,0.9153909683227539,0.23913097381591797,0.18766311023412863,0.7183725029611521,620.42578125,818.640625,820.9296875,True,True,multi,global_temp
3567,3654,baseline,0.18353939056396484,0.8970122337341309,0.24607157707214355,0.2046119146000018,0.7458780601473308,639.703125,878.82421875,882.7578125,True,True,multi,global_temp
