N,T,version,serial_time,parallel_time,block_time,parallel_speedup,block_speedup,serial_memory_MB,parallel_memory_MB,block_memory_MB,correct_parallel,correct_block,blas_mode,dataset
10,3654,optimized,0.053601980209350586,0.03869938850402832,0.0731198787689209,1.385085973742738,0.7330698725410598,384.0390625,384.46484375,384.2265625,False,True,multi,global_temp
100,3654,optimized,0.04054403305053711,0.05545806884765625,0.04649710655212402,0.7310754574219287,0.8719689472523754,384.62890625,387.57421875,384.76953125,False,True,multi,global_temp
500,3654,optimized,0.04171395301818848,0.09873390197753906,0.03647470474243164,0.4224886506326669,1.1436405945642085,387.7109375,403.01171875,387.83203125,False,True,multi,global_temp
1000,3654,optimized,0.047896385192871094,0.3151059150695801,0.0797419548034668,0.15200090795596413,0.6006422254247119,417.6640625,453.9921875,427.05859375,False,True,multi,global_temp
1500,3654,optimized,0.09585690498352051,0.7454321384429932,0.09653472900390625,0.1285923963296508,0.9929784438473089,470.85546875,536.23828125,500.8046875,False,True,multi,global_temp
2000,3654,optimized,0.12093997001647949,1.3968675136566162,0.10268211364746094,0.08657941346197665,1.1778095105414692,515.8515625,636.21875,584.04296875,False,True,multi,global_temp
2500,3654,optimized,0.11108732223510742,2.3745336532592773,0.13917803764343262,0.04678279546917742,0.7981670392544817,616.421875,787.203125,677.1015625,False,True,multi,global_temp
3000,3654,optimized,0.13663792610168457,3.428786277770996,0.15963172912597656,0.03985023125749059,0.8559571887732547,645.21875,883.51171875,737.92578125,False,True,multi,global_temp
3500,3654,optimized,0.17308735847473145,4.7677788734436035,0.18764781951904297,0.03630356253282283,0.9224053810929901,640.609375,1034.44921875,821.140625,False,True,multi,global_temp
3567,3654,optimized,0.18288612365722656,5.0099217891693115,0.2017974853515625,0.036504786173029394,0.9062854442344045,639.9140625,1090.171875,883.26953125,False,True,multi,global_temp
