N,T,version,serial_time,parallel_time,block_time,parallel_speedup,block_speedup,serial_memory_MB,parallel_memory_MB,block_memory_MB,correct_parallel,correct_block,blas_mode,dataset
10,3654,baseline,0.03077220916748047,0.03166627883911133,0.05786418914794922,0.9717658751072896,0.5318005768438401,383.40234375,383.828125,383.53125,True,True,single,global_temp
100,3654,baseline,0.045194387435913086,0.18645238876342773,0.017301559448242188,0.24239103470675338,2.612156873553081,383.93359375,386.875,384.07421875,True,True,single,global_temp
500,3654,baseline,0.03271794319152832,0.659367561340332,0.02850627899169922,0.04962018926897282,1.147745140677796,387.015625,402.8359375,387.140625,True,True,single,global_temp
1000,3654,baseline,0.052034616470336914,1.401982307434082,0.045168161392211914,0.037115030763527276,1.1520198048023478,416.97265625,453.31640625,426.3828125,True,True,single,global_temp
1500,3654,baseline,0.07067275047302246,0.7606785297393799,0.08287906646728516,0.09290751310837711,0.8527213624072263,470.1796875,535.6640625,500.23046875,True,True,single,global_temp
2000,3654,baseline,0.11077260971069336,0.8205509185791016,0.10832476615905762,0.13499784986227495,1.022597265966321,530.953125,609.69140625,627.67578125,True,True,single,global_temp
2500,3654,baseline,0.1761784553527832,0.8945376873016357,0.15507769584655762,0.1969491703409655,1.136065727511865,580.95703125,696.12109375,660.94921875,True,True,single,global_temp
3000,3654,baseline,0.13936996459960938,0.8316018581390381,0.22064542770385742,0.16759217555320527,0.6316467377092757,649.44921875,831.44921875,762.109375,True,True,single,global_temp
3500,3654,baseline,0.18941140174865723,1.0154414176940918,0.25669145584106445,0.18653109716440444,0.7378952335130897,664.921875,820.21875,868.9375,True,True,single,global_temp
3567,3654,baseline,0.18676996231079102,0.8118202686309814,0.36721181869506836,0.2300631919744401,0.5086164246415071,687.48828125,895.28125,882.703125,True,True,single,global_temp
