N,T,version,serial_time,parallel_time,block_time,parallel_speedup,block_speedup,serial_memory_MB,parallel_memory_MB,block_memory_MB,correct_parallel,correct_block,blas_mode,dataset
10,3654,optimized,0.04988598823547363,0.03823733329772949,0.07035994529724121,1.3046408819109734,0.7090111856216813,383.4375,383.765625,383.62890625,False,True,single,global_temp
100,3654,optimized,0.054007530212402344,0.05192446708679199,0.05173683166503906,1.0401171787113097,1.043889400921659,384.03125,386.953125,384.171875,False,True,single,global_temp
500,3654,optimized,0.060918331146240234,0.10492873191833496,0.044103384017944336,0.5805686396139086,1.3812620619192033,387.11328125,402.890625,387.23046875,False,True,single,global_temp
1000,3654,optimized,0.04895973205566406,0.3024613857269287,0.07242274284362793,0.161871016817553,0.6760270342339257,417.0625,453.40234375,426.46875,False,True,single,global_temp
1500,3654,optimized,0.07529187202453613,0.7310290336608887,0.08370280265808105,0.10299436623944364,0.899514348785872,503.1484375,535.6484375,501.6328125,False,True,single,global_temp
2000,3654,optimized,0.10126829147338867,1.4549574851989746,0.1024017333984375,0.06960223408833117,0.9889314185665325,545.78125,666.140625,641.84765625,False,True,single,global_temp
2500,3654,optimized,0.10893774032592773,2.396070718765259,0.1386713981628418,0.04546516072032525,0.7855818991455049,613.1875,786.609375,672.85546875,False,True,single,global_temp
3000,3654,optimized,0.14128637313842773,3.507868766784668,0.15126657485961914,0.040276983699117,0.9340224254402971,644.625,917.2421875,737.38671875,False,True,single,global_temp
3500,3654,optimized,0.17306184768676758,4.859001874923706,0.19242000579833984,0.03561674848900628,0.8993963333944599,640.015625,1033.85546875,820.546875,False,True,single,global_temp
3567,3654,optimized,0.18263506889343262,5.0970618724823,0.20143842697143555,0.03583144043815349,0.9066545625841822,639.3203125,1089.57421875,883.22265625,False,True,single,global_temp
