N,T,block_size,gpu_full_pageable_h2d,gpu_full_pageable_comp,gpu_full_pageable_d2h,gpu_full_pageable_total,gpu_full_pageable_mem,gpu_block_pageable_h2d,gpu_block_pageable_comp,gpu_block_pageable_d2h,gpu_block_pageable_total,gpu_block_pageable_mem,gpu_full_pinned_h2d,gpu_full_pinned_comp,gpu_full_pinned_d2h,gpu_full_pinned_total,gpu_full_pinned_mem,gpu_block_pinned_h2d,gpu_block_pinned_comp,gpu_block_pinned_d2h,gpu_block_pinned_total,gpu_block_pinned_mem,version,dataset
10,3654,,0.0004265589959686622,0.026662528005545028,7.579899101983756e-05,0.027164885992533527,8.40625,,,,,,0.00014216400450095534,0.00038137900992296636,5.4706004448235035e-05,0.0005782490188721567,8.544921875,,,,,,baseline,global_temp
100,3654,,0.00024153399863280356,0.0004119020013604313,4.8129993956536055e-05,0.0007015659939497709,12.30810546875,,,,,,0.00016172298637684435,0.0003567200037650764,4.574099148157984e-05,0.0005641839816235006,12.30810546875,,,,,,baseline,global_temp
500,3654,,0.0007498249906348065,0.001774364005541429,0.0002508589968783781,0.0027750479930546135,29.0380859375,,,,,,0.000640942991594784,0.0017593569937162101,0.0002785260003292933,0.0026788259856402874,29.0380859375,,,,,,baseline,global_temp
1000,3654,,0.0019798059947788715,0.005357410991564393,0.0007958599890116602,0.008133076975354925,50.1328125,,,,,,0.001288175000809133,0.005298122996464372,0.0011723390052793548,0.0077586370025528595,50.1328125,,,,,,baseline,global_temp
1500,3654,,0.0033090900105889887,0.01698121801018715,0.0009677939960965887,0.021258102016872726,70.86279296875,,,,,,0.0019247230084147304,0.016639355992083438,0.0023418250057147816,0.02090590400621295,70.86279296875,,,,,,baseline,global_temp
2000,3654,,0.004727961000753567,0.01895593099470716,0.0013299790007295087,0.025013870996190235,95.3994140625,,,,,,0.004925658999127336,0.01889267799560912,0.003806399996392429,0.027624736991128884,95.3994140625,,,,,,baseline,global_temp
2500,3654,,0.006025003996910527,0.03284332099428866,0.001997177008888684,0.04086550200008787,125.68212890625,,,,,,0.0031517699972027913,0.03235540399327874,0.0052191699942341074,0.04072634398471564,125.68212890625,,,,,,baseline,global_temp
3000,3654,,0.006834166997577995,0.0541644540062407,0.009271254995837808,0.0702698759996565,160.8134765625,,,,,,0.005445237999083474,0.05333633199916221,0.009045414000866003,0.06782698399911169,160.8134765625,,,,,,baseline,global_temp
3500,3654,,0.007735046005109325,0.08039443200686947,0.003817796998191625,0.09194727501017042,199.1865234375,,,,,,0.006511049999971874,0.08113786499598064,0.012099897998268716,0.09974881299422123,199.1865234375,,,,,,baseline,global_temp
3567,3654,,0.008630947006167844,0.06349999400845263,0.012621166999451816,0.08475210801407229,205.2255859375,,,,,,0.0075724490016000345,0.06513371400069445,0.012725149994366802,0.08543131299666129,205.2255859375,,,,,,baseline,global_temp
