N,T,block_size,gpu_full_pageable_h2d,gpu_full_pageable_comp,gpu_full_pageable_d2h,gpu_full_pageable_total,gpu_full_pageable_mem,gpu_block_pageable_h2d,gpu_block_pageable_comp,gpu_block_pageable_d2h,gpu_block_pageable_total,gpu_block_pageable_mem,gpu_full_pinned_h2d,gpu_full_pinned_comp,gpu_full_pinned_d2h,gpu_full_pinned_total,gpu_full_pinned_mem,gpu_block_pinned_h2d,gpu_block_pinned_comp,gpu_block_pinned_d2h,gpu_block_pinned_total,gpu_block_pinned_mem,version,dataset
10,3654,1024,0.004260859001078643,0.04850802500732243,0.00026734899438451976,0.05303623300278559,8.40625,0.00013689200568478554,0.004095718002645299,3.998899774160236e-05,0.004272599006071687,8.544921875,0.00021754200861323625,0.00010389900126028806,2.4559005396440625e-05,0.00034600001526996493,8.544921875,7.848499808460474e-05,0.00011972800712101161,2.063199644908309e-05,0.00021884500165469944,8.544921875,optimized,global_temp
100,3654,1024,0.0002304030058439821,0.0008724220097064972,4.5926994062028825e-05,0.0011487520096125081,12.30810546875,0.00021525000920519233,0.0003698530053952709,3.6954006645828485e-05,0.0006220570212462917,12.30810546875,0.00015802499547135085,0.0003605399979278445,3.860400465782732e-05,0.0005571689980570227,12.30810546875,0.00014191299851518124,0.0003509279922582209,3.393400402273983e-05,0.000526774994796142,12.30810546875,optimized,global_temp
500,3654,1024,0.0007265430031111464,0.0017070429894374683,0.00016764001338742673,0.0026012260059360415,29.0380859375,0.0013639030075864866,0.0017380019999109209,0.0002726439997786656,0.003374549007276073,29.0380859375,0.0006215299945324659,0.001711345001240261,0.0003669190045911819,0.0026997940003639087,29.0380859375,0.0011957170063396916,0.0017324930086033419,0.00015789100143592805,0.0030861010163789615,29.0380859375,optimized,global_temp
1000,3654,1024,0.002025526002398692,0.005324113997630775,0.0005799039936391637,0.00792954399366863,50.1328125,0.0027428180037532,0.005366237004636787,0.0011046919971704483,0.009213747005560435,50.1328125,0.0012969550007255748,0.005245203006779775,0.0011421960080042481,0.007684354015509598,50.1328125,0.002233496998087503,0.005307126004481688,0.00037897600850556046,0.007919599011074752,50.1328125,optimized,global_temp
1500,3654,1024,0.003317568000056781,0.01675341700320132,0.0007708040066063404,0.020841789009864442,70.86279296875,0.003911862004315481,0.012038052998832427,0.0023352730058832094,0.018285188009031117,70.86279296875,0.001912716994411312,0.016763141000410542,0.002361033999477513,0.021036891994299367,70.86279296875,0.002823695002007298,0.008464523998554796,0.002368337009102106,0.0136565560096642,70.86279296875,optimized,global_temp
2000,3654,1024,0.004269162003765814,0.02056234100018628,0.001331724997726269,0.026163228001678362,95.3994140625,0.005152727986569516,0.014385863003553823,0.003713890997460112,0.02325248198758345,99.640625,0.004157125003985129,0.019217494991607964,0.0013082989898975939,0.024682918985490687,95.3994140625,0.004078091005794704,0.014293088010163046,0.0012934510014019907,0.01966463001735974,99.640625,optimized,global_temp
2500,3654,1024,0.005746802009525709,0.036301631000242196,0.0054596630070591345,0.04750809601682704,125.68212890625,0.006170838008983992,0.01935189700452611,0.006226611993042752,0.03174934700655285,126.4619140625,0.003151425000396557,0.029626207004184835,0.006359353006700985,0.03913698501128238,125.68212890625,0.004593870995449834,0.018212718001450412,0.001983832989935763,0.02479042198683601,126.4619140625,optimized,global_temp
3000,3654,1024,0.00654327699157875,0.055197551992023364,0.00896434299647808,0.0707051719800802,160.8134765625,0.007204894995084032,0.02496109799540136,0.009045981001690961,0.041211973992176354,165.0234375,0.00519947599968873,0.05868561899114866,0.008951750001870096,0.07283684499270748,160.8134765625,0.00522016100876499,0.0252387880027527,0.009081299998797476,0.039540249010315165,165.0234375,optimized,global_temp
3500,3654,1024,0.008066323993261904,0.08034823399793822,0.012317090993747115,0.10073164898494724,199.1865234375,0.008736681993468665,0.029370584001298994,0.0123052760027349,0.05041254199750256,199.8857421875,0.00704435100487899,0.0819808039959753,0.012308099001529627,0.10133325400238391,199.1865234375,0.006403053004760295,0.029160268997657113,0.012113375996705145,0.04767669799912255,199.8857421875,optimized,global_temp
3567,3654,1024,0.009291905007557943,0.06422397300775629,0.012690925999777392,0.08620680401509162,205.2255859375,0.009597377007594332,0.03117968500009738,0.012901434995001182,0.05367849700269289,206.16064453125,0.007340871001360938,0.06472023799142335,0.01259106199722737,0.08465217099001165,205.2255859375,0.00744597299490124,0.03105824999511242,0.012521415992523544,0.0510256389825372,206.16064453125,optimized,global_temp
