Date,Temp_C,Location_ID
20150101,1.01,Berlin
20150102,2.73,Berlin
20150103,1.74,Berlin
20150104,1.29,Berlin
20150105,1.32,Berlin
20150106,0.35,Berlin
20150107,0.3,Berlin
20150108,1.91,Berlin
20150109,5.31,Berlin
20150110,7.63,Berlin
20150111,2.79,Berlin
20150112,4.98,Berlin
20150113,7.35,Berlin
20150114,4.76,Berlin
20150115,2.5,Berlin
20150116,4.71,Berlin
20150117,0.9,Berlin
20150118,-1.15,Berlin
20150119,-0.78,Berlin
20150120,-0.56,Berlin
20150121,-1.21,Berlin
20150122,-1.23,Berlin
20150123,-1.24,Berlin
20150124,-1.86,Berlin
20150125,-0.21,Berlin
20150126,0.78,Berlin
20150127,1.2,Berlin
20150128,1.27,Berlin
20150129,0.24,Berlin
20150130,-0.2,Berlin
20150131,-0.67,Berlin
20150201,-1.51,Berlin
20150202,-0.27,Berlin
20150203,-1.1,Berlin
20150204,-2.73,Berlin
20150205,-2.92,Berlin
20150206,-5.06,Berlin
20150207,-1.85,Berlin
20150208,-0.34,Berlin
20150209,1.78,Berlin
20150210,2.17,Berlin
20150211,2.09,Berlin
20150212,-0.68,Berlin
20150213,-0.69,Berlin
20150214,-0.75,Berlin
20150215,0.59,Berlin
20150216,-0.17,Berlin
20150217,-0.37,Berlin
20150218,1.04,Berlin
20150219,0.47,Berlin
20150220,1.09,Berlin
20150221,2.63,Berlin
20150222,0.56,Berlin
20150223,0.56,Berlin
20150224,2.24,Berlin
20150225,2.2,Berlin
20150226,1.64,Berlin
20150227,1.91,Berlin
20150228,2.06,Berlin
20150301,2.47,Berlin
20150302,3.89,Berlin
20150303,3.64,Berlin
20150304,3.01,Berlin
20150305,3.35,Berlin
20150306,3.73,Berlin
20150307,4.82,Berlin
20150308,7.27,Berlin
20150309,7.21,Berlin
20150310,4.89,Berlin
20150311,3.26,Berlin
20150312,2.68,Berlin
20150313,2.73,Berlin
20150314,3.66,Berlin
20150315,4.88,Berlin
20150316,7.13,Berlin
20150317,8.85,Berlin
20150318,6.03,Berlin
20150319,4.47,Berlin
20150320,5.05,Berlin
20150321,2.63,Berlin
20150322,0.44,Berlin
20150323,3.45,Berlin
20150324,6.02,Berlin
20150325,7.81,Berlin
20150326,6.83,Berlin
20150327,5.95,Berlin
20150328,6.09,Berlin
20150329,8.55,Berlin
20150330,5.4,Berlin
20150331,4.89,Berlin
20150401,3.76,Berlin
20150402,2.78,Berlin
20150403,3.59,Berlin
20150404,3.06,Berlin
20150405,3.49,Berlin
20150406,3.14,Berlin
20150407,5.81,Berlin
20150408,7.23,Berlin
20150409,9.48,Berlin
20150410,12.17,Berlin
20150411,12.47,Berlin
20150412,8.66,Berlin
20150413,7.98,Berlin
20150414,8.22,Berlin
20150415,13.56,Berlin
20150416,8.92,Berlin
20150417,6.57,Berlin
20150418,6.55,Berlin
20150419,8.6,Berlin
20150420,9.74,Berlin
20150421,10.93,Berlin
20150422,8.73,Berlin
20150423,10.09,Berlin
20150424,12.47,Berlin
20150425,13.06,Berlin
20150426,13.2,Berlin
20150427,10.71,Berlin
20150428,7.2,Berlin
20150429,8.44,Berlin
20150430,9.97,Berlin
20150501,9.0,Berlin
20150502,9.05,Berlin
20150503,12.58,Berlin
20150504,16.14,Berlin
20150505,17.64,Berlin
20150506,14.19,Berlin
20150507,12.02,Berlin
20150508,12.56,Berlin
20150509,14.72,Berlin
20150510,10.99,Berlin
20150511,13.27,Berlin
20150512,16.05,Berlin
20150513,12.47,Berlin
20150514,10.63,Berlin
20150515,11.25,Berlin
20150516,10.36,Berlin
20150517,10.51,Berlin
20150518,14.02,Berlin
20150519,14.22,Berlin
20150520,12.57,Berlin
20150521,11.42,Berlin
20150522,13.99,Berlin
20150523,14.3,Berlin
20150524,14.27,Berlin
20150525,15.64,Berlin
20150526,12.94,Berlin
20150527,11.31,Berlin
20150528,13.51,Berlin
20150529,13.92,Berlin
20150530,12.33,Berlin
20150531,14.43,Berlin
20150601,13.65,Berlin
20150602,16.84,Berlin
20150603,18.15,Berlin
20150604,15.77,Berlin
20150605,20.3,Berlin
20150606,21.87,Berlin
20150607,18.04,Berlin
20150608,15.23,Berlin
20150609,15.06,Berlin
20150610,17.04,Berlin
20150611,18.34,Berlin
20150612,19.07,Berlin
20150613,22.22,Berlin
20150614,18.37,Berlin
20150615,15.45,Berlin
20150616,12.73,Berlin
20150617,14.94,Berlin
20150618,15.84,Berlin
20150619,13.11,Berlin
20150620,13.12,Berlin
20150621,15.14,Berlin
20150622,14.37,Berlin
20150623,12.07,Berlin
20150624,13.26,Berlin
20150625,17.62,Berlin
20150626,19.15,Berlin
20150627,18.75,Berlin
20150628,18.27,Berlin
20150629,20.88,Berlin
