Date,Temp_C,Location_ID,Latitude,Longitude
20150101,-4.66,Munich,48.13,11.58
20150102,-0.56,Munich,48.13,11.58
20150103,0.42,Munich,48.13,11.58
20150104,-0.71,Munich,48.13,11.58
20150105,-2.58,Munich,48.13,11.58
20150106,-2.57,Munich,48.13,11.58
20150107,-1.63,Munich,48.13,11.58
20150108,1.23,Munich,48.13,11.58
20150109,4.23,Munich,48.13,11.58
20150110,9.99,Munich,48.13,11.58
20150111,2.59,Munich,48.13,11.58
20150112,1.38,Munich,48.13,11.58
20150113,2.6,Munich,48.13,11.58
20150114,2.91,Munich,48.13,11.58
20150115,1.0,Munich,48.13,11.58
20150116,3.08,Munich,48.13,11.58
20150117,0.06,Munich,48.13,11.58
20150118,-1.39,Munich,48.13,11.58
20150119,-3.06,Munich,48.13,11.58
20150120,-2.41,Munich,48.13,11.58
20150121,-1.89,Munich,48.13,11.58
20150122,-1.16,Munich,48.13,11.58
20150123,-1.5,Munich,48.13,11.58
20150124,-2.27,Munich,48.13,11.58
20150125,-2.42,Munich,48.13,11.58
20150126,-2.4,Munich,48.13,11.58
20150127,-1.14,Munich,48.13,11.58
20150128,-3.15,Munich,48.13,11.58
20150129,-1.1,Munich,48.13,11.58
20150130,-3.26,Munich,48.13,11.58
20150131,-2.91,Munich,48.13,11.58
20150201,-4.33,Munich,48.13,11.58
20150202,-2.9,Munich,48.13,11.58
20150203,-5.85,Munich,48.13,11.58
20150204,-7.51,Munich,48.13,11.58
20150205,-5.76,Munich,48.13,11.58
20150206,-6.26,Munich,48.13,11.58
20150207,-8.95,Munich,48.13,11.58
20150208,-5.55,Munich,48.13,11.58
20150209,-4.91,Munich,48.13,11.58
20150210,-1.88,Munich,48.13,11.58
20150211,-1.87,Munich,48.13,11.58
20150212,-1.5,Munich,48.13,11.58
20150213,-1.26,Munich,48.13,11.58
20150214,-0.39,Munich,48.13,11.58
20150215,-0.05,Munich,48.13,11.58
20150216,0.39,Munich,48.13,11.58
20150217,-0.19,Munich,48.13,11.58
20150218,-0.83,Munich,48.13,11.58
20150219,0.19,Munich,48.13,11.58
20150220,2.31,Munich,48.13,11.58
20150221,1.54,Munich,48.13,11.58
20150222,-0.15,Munich,48.13,11.58
20150223,1.16,Munich,48.13,11.58
20150224,0.67,Munich,48.13,11.58
20150225,0.56,Munich,48.13,11.58
20150226,1.05,Munich,48.13,11.58
20150227,1.2,Munich,48.13,11.58
20150228,0.26,Munich,48.13,11.58
20150301,1.97,Munich,48.13,11.58
20150302,3.66,Munich,48.13,11.58
20150303,1.24,Munich,48.13,11.58
20150304,1.12,Munich,48.13,11.58
20150305,-0.63,Munich,48.13,11.58
20150306,0.78,Munich,48.13,11.58
20150307,1.65,Munich,48.13,11.58
20150308,4.11,Munich,48.13,11.58
20150309,5.03,Munich,48.13,11.58
20150310,5.97,Munich,48.13,11.58
20150311,3.09,Munich,48.13,11.58
20150312,1.69,Munich,48.13,11.58
20150313,0.41,Munich,48.13,11.58
20150314,1.38,Munich,48.13,11.58
20150315,3.01,Munich,48.13,11.58
20150316,5.18,Munich,48.13,11.58
20150317,7.61,Munich,48.13,11.58
20150318,7.36,Munich,48.13,11.58
20150319,5.92,Munich,48.13,11.58
20150320,5.79,Munich,48.13,11.58
20150321,5.65,Munich,48.13,11.58
20150322,3.34,Munich,48.13,11.58
20150323,4.12,Munich,48.13,11.58
20150324,6.78,Munich,48.13,11.58
20150325,7.5,Munich,48.13,11.58
20150326,4.88,Munich,48.13,11.58
20150327,4.14,Munich,48.13,11.58
20150328,4.59,Munich,48.13,11.58
20150329,8.3,Munich,48.13,11.58
20150330,5.94,Munich,48.13,11.58
20150331,7.7,Munich,48.13,11.58
20150401,2.48,Munich,48.13,11.58
20150402,1.93,Munich,48.13,11.58
20150403,3.05,Munich,48.13,11.58
20150404,1.46,Munich,48.13,11.58
20150405,0.26,Munich,48.13,11.58
20150406,0.5,Munich,48.13,11.58
20150407,1.45,Munich,48.13,11.58
20150408,5.48,Munich,48.13,11.58
20150409,8.89,Munich,48.13,11.58
20150410,12.01,Munich,48.13,11.58
20150411,10.22,Munich,48.13,11.58
20150412,11.25,Munich,48.13,11.58
20150413,10.4,Munich,48.13,11.58
20150414,10.06,Munich,48.13,11.58
20150415,13.44,Munich,48.13,11.58
20150416,12.84,Munich,48.13,11.58
20150417,10.19,Munich,48.13,11.58
20150418,4.82,Munich,48.13,11.58
20150419,5.29,Munich,48.13,11.58
20150420,8.18,Munich,48.13,11.58
20150421,10.28,Munich,48.13,11.58
20150422,10.25,Munich,48.13,11.58
20150423,6.6,Munich,48.13,11.58
20150424,10.23,Munich,48.13,11.58
20150425,11.4,Munich,48.13,11.58
20150426,13.28,Munich,48.13,11.58
20150427,14.77,Munich,48.13,11.58
20150428,6.81,Munich,48.13,11.58
20150429,7.25,Munich,48.13,11.58
20150430,8.83,Munich,48.13,11.58
20150501,9.09,Munich,48.13,11.58
20150502,9.79,Munich,48.13,11.58
20150503,12.54,Munich,48.13,11.58
20150504,15.81,Munich,48.13,11.58
20150505,17.75,Munich,48.13,11.58
20150506,11.63,Munich,48.13,11.58
20150507,11.4,Munich,48.13,11.58
20150508,15.01,Munich,48.13,11.58
20150509,12.9,Munich,48.13,11.58
20150510,13.25,Munich,48.13,11.58
20150511,14.95,Munich,48.13,11.58
20150512,18.3,Munich,48.13,11.58
20150513,17.23,Munich,48.13,11.58
20150514,13.84,Munich,48.13,11.58
20150515,11.82,Munich,48.13,11.58
20150516,13.83,Munich,48.13,11.58
20150517,12.11,Munich,48.13,11.58
20150518,15.98,Munich,48.13,11.58
20150519,13.26,Munich,48.13,11.58
20150520,7.47,Munich,48.13,11.58
20150521,7.96,Munich,48.13,11.58
20150522,8.89,Munich,48.13,11.58
20150523,9.04,Munich,48.13,11.58
20150524,10.05,Munich,48.13,11.58
20150525,12.45,Munich,48.13,11.58
20150526,10.7,Munich,48.13,11.58
20150527,9.44,Munich,48.13,11.58
20150528,12.99,Munich,48.13,11.58
20150529,15.95,Munich,48.13,11.58
20150530,14.49,Munich,48.13,11.58
20150531,15.74,Munich,48.13,11.58
20150601,17.59,Munich,48.13,11.58
20150602,18.45,Munich,48.13,11.58
20150603,20.21,Munich,48.13,11.58
20150604,19.56,Munich,48.13,11.58
20150605,20.68,Munich,48.13,11.58
20150606,22.77,Munich,48.13,11.58
20150607,20.81,Munich,48.13,11.58
20150608,16.35,Munich,48.13,11.58
20150609,12.46,Munich,48.13,11.58
20150610,15.39,Munich,48.13,11.58
20150611,17.68,Munich,48.13,11.58
20150612,21.46,Munich,48.13,11.58
20150613,19.26,Munich,48.13,11.58
20150614,20.0,Munich,48.13,11.58
20150615,15.28,Munich,48.13,11.58
20150616,14.76,Munich,48.13,11.58
20150617,14.1,Munich,48.13,11.58
20150618,14.28,Munich,48.13,11.58
20150619,12.4,Munich,48.13,11.58
20150620,10.27,Munich,48.13,11.58
20150621,11.96,Munich,48.13,11.58
20150622,14.59,Munich,48.13,11.58
20150623,12.46,Munich,48.13,11.58
20150624,12.51,Munich,48.13,11.58
20150625,15.35,Munich,48.13,11.58
20150626,18.02,Munich,48.13,11.58
20150627,18.0,Munich,48.13,11.58
20150628,16.6,Munich,48.13,11.58
20150629,18.51,Munich,48.13,11.58
20150630,20.67,Munich,48.13,11.58
20150701,21.17,Munich,48.13,11.58
20150702,23.7,Munich,48.13,11.58
20150703,24.47,Munich,48.13,11.58
20150704,25.26,Munich,48.13,11.58
20150705,27.24,Munich,48.13,11.58
20150706,23.4,Munich,48.13,11.58
20150707,25.55,Munich,48.13,11.58
20150708,18.39,Munich,48.13,11.58
20150709,14.82,Munich,48.13,11.58
20150710,15.69,Munich,48.13,11.58
20150711,19.71,Munich,48.13,11.58
20150712,20.45,Munich,48.13,11.58
20150713,16.68,Munich,48.13,11.58
20150714,19.5,Munich,48.13,11.58
20150715,20.17,Munich,48.13,11.58
20150716,22.74,Munich,48.13,11.58
20150717,24.31,Munich,48.13,11.58
20150718,22.12,Munich,48.13,11.58
20150719,22.48,Munich,48.13,11.58
