Date,Temp_C,Location_ID,Latitude,Longitude
20150101,-0.12,Paris,48.85,2.35
20150102,2.07,Paris,48.85,2.35
20150103,5.33,Paris,48.85,2.35
20150104,1.1,Paris,48.85,2.35
20150105,-1.01,Paris,48.85,2.35
20150106,-0.43,Paris,48.85,2.35
20150107,1.72,Paris,48.85,2.35
20150108,6.46,Paris,48.85,2.35
20150109,9.84,Paris,48.85,2.35
20150110,9.97,Paris,48.85,2.35
20150111,4.92,Paris,48.85,2.35
20150112,5.55,Paris,48.85,2.35
20150113,6.54,Paris,48.85,2.35
20150114,5.24,Paris,48.85,2.35
20150115,6.91,Paris,48.85,2.35
20150116,4.36,Paris,48.85,2.35
20150117,1.37,Paris,48.85,2.35
20150118,1.81,Paris,48.85,2.35
20150119,0.01,Paris,48.85,2.35
20150120,-0.04,Paris,48.85,2.35
20150121,-0.85,Paris,48.85,2.35
20150122,-0.63,Paris,48.85,2.35
20150123,-1.51,Paris,48.85,2.35
20150124,0.16,Paris,48.85,2.35
20150125,1.21,Paris,48.85,2.35
20150126,4.06,Paris,48.85,2.35
20150127,2.85,Paris,48.85,2.35
20150128,3.74,Paris,48.85,2.35
20150129,2.86,Paris,48.85,2.35
20150130,0.87,Paris,48.85,2.35
20150131,1.84,Paris,48.85,2.35
20150201,1.51,Paris,48.85,2.35
20150202,0.23,Paris,48.85,2.35
20150203,-1.05,Paris,48.85,2.35
20150204,-0.41,Paris,48.85,2.35
20150205,-1.11,Paris,48.85,2.35
20150206,-1.76,Paris,48.85,2.35
20150207,-1.08,Paris,48.85,2.35
20150208,1.97,Paris,48.85,2.35
20150209,0.76,Paris,48.85,2.35
20150210,2.14,Paris,48.85,2.35
20150211,1.3,Paris,48.85,2.35
20150212,0.83,Paris,48.85,2.35
20150213,5.44,Paris,48.85,2.35
20150214,5.49,Paris,48.85,2.35
20150215,4.79,Paris,48.85,2.35
20150216,3.51,Paris,48.85,2.35
20150217,3.54,Paris,48.85,2.35
20150218,1.73,Paris,48.85,2.35
20150219,2.77,Paris,48.85,2.35
20150220,4.52,Paris,48.85,2.35
20150221,2.47,Paris,48.85,2.35
20150222,2.96,Paris,48.85,2.35
20150223,5.8,Paris,48.85,2.35
20150224,3.97,Paris,48.85,2.35
20150225,3.72,Paris,48.85,2.35
20150226,7.0,Paris,48.85,2.35
20150227,3.83,Paris,48.85,2.35
20150228,3.42,Paris,48.85,2.35
20150301,9.03,Paris,48.85,2.35
20150302,5.79,Paris,48.85,2.35
20150303,4.57,Paris,48.85,2.35
20150304,3.51,Paris,48.85,2.35
20150305,4.08,Paris,48.85,2.35
20150306,4.56,Paris,48.85,2.35
20150307,5.21,Paris,48.85,2.35
20150308,7.48,Paris,48.85,2.35
20150309,8.22,Paris,48.85,2.35
20150310,8.41,Paris,48.85,2.35
20150311,6.81,Paris,48.85,2.35
20150312,5.36,Paris,48.85,2.35
20150313,4.63,Paris,48.85,2.35
20150314,4.68,Paris,48.85,2.35
20150315,4.18,Paris,48.85,2.35
20150316,5.73,Paris,48.85,2.35
20150317,8.54,Paris,48.85,2.35
20150318,8.29,Paris,48.85,2.35
20150319,6.2,Paris,48.85,2.35
20150320,6.48,Paris,48.85,2.35
20150321,5.76,Paris,48.85,2.35
20150322,5.95,Paris,48.85,2.35
20150323,5.37,Paris,48.85,2.35
20150324,4.64,Paris,48.85,2.35
20150325,4.92,Paris,48.85,2.35
20150326,4.08,Paris,48.85,2.35
20150327,6.77,Paris,48.85,2.35
20150328,9.81,Paris,48.85,2.35
20150329,10.81,Paris,48.85,2.35
20150330,10.12,Paris,48.85,2.35
20150331,10.07,Paris,48.85,2.35
20150401,6.91,Paris,48.85,2.35
20150402,8.0,Paris,48.85,2.35
20150403,8.24,Paris,48.85,2.35
20150404,6.86,Paris,48.85,2.35
20150405,4.92,Paris,48.85,2.35
20150406,6.42,Paris,48.85,2.35
20150407,7.73,Paris,48.85,2.35
