#Amsterdam,Berlin,Delhi,London,Melbourne,Montpellier,Mumbai,Munich,Paris,Pune
2.57,1.01,15.08,7.34,18.2,3.62,21.87,-4.66,-0.12,17.97
6.66,2.73,15.76,6.46,26.08,6.25,21.64,-0.56,2.07,17.65
4.75,1.74,14.41,3.4,28.33,9.25,21.8,0.42,5.33,17.92
4.13,1.29,13.53,0.48,18.16,9.69,23.61,-0.71,1.1,18.99
2.78,1.32,13.07,5.88,17.1,6.07,23.87,-2.58,-1.01,19.6
2.49,0.35,13.18,5.37,19.93,6.02,23.31,-2.57,-0.43,19.04
3.78,0.3,12.44,5.08,27.19,6.23,21.99,-1.63,1.72,18.26
5.68,1.91,12.37,7.77,23.61,7.31,21.65,1.23,6.46,17.51
8.57,5.31,11.7,10.53,16.73,10.12,22.22,4.23,9.84,17.47
8.35,7.63,11.06,7.8,16.26,11.89,22.16,9.99,9.97,17.05
5.63,2.79,12.12,4.38,20.86,9.03,22.21,2.59,4.92,16.89
8.23,4.98,12.38,9.19,22.73,6.28,22.31,1.38,5.55,17.47
7.72,7.35,12.19,6.1,22.34,9.73,21.89,2.6,6.54,17.87
3.9,4.76,11.4,4.15,19.35,9.42,22.01,2.91,5.24,18.65
6.59,2.5,11.22,6.77,16.92,10.41,21.9,1.0,6.91,18.58
4.82,4.71,12.44,2.07,19.2,9.79,22.45,3.08,4.36,18.84
2.47,0.9,13.65,0.46,18.56,6.3,22.91,0.06,1.37,19.23
1.39,-1.15,13.31,0.44,16.32,6.11,22.97,-1.39,1.81,19.02
1.71,-0.78,13.0,0.04,16.56,6.65,23.37,-3.06,0.01,19.48
-0.12,-0.56,12.11,0.5,20.85,5.39,22.8,-2.41,-0.04,18.84
-0.72,-1.21,13.27,1.34,23.9,4.67,22.95,-1.89,-0.85,18.66
-1.36,-1.23,12.51,-0.37,24.22,5.27,22.82,-1.16,-0.63,19.01
-1.23,-1.24,13.19,0.55,20.92,4.41,23.08,-1.5,-1.51,19.26
2.15,-1.86,13.47,2.07,20.12,4.28,23.86,-2.27,0.16,20.79
3.4,-0.21,12.68,3.19,16.64,4.41,24.2,-2.42,1.21,21.1
4.49,0.78,12.54,5.86,15.45,5.46,22.79,-2.4,4.06,19.8
4.51,1.2,12.2,4.16,15.87,6.5,22.37,-1.14,2.85,19.53
4.32,1.27,10.65,4.94,17.96,6.05,22.79,-3.15,3.74,20.15
2.54,0.24,10.4,1.47,16.56,8.53,24.11,-1.1,2.86,20.64
1.39,-0.2,11.27,1.34,16.2,6.17,25.46,-3.26,0.87,21.09
1.32,-0.67,13.16,0.98,17.36,5.43,25.92,-2.91,1.84,21.71
2.66,-1.51,15.43,0.86,16.64,4.45,24.84,-4.33,1.51,21.19
2.27,-0.27,15.79,-1.7,17.73,3.76,24.5,-2.9,0.23,21.66
1.53,-1.1,15.43,0.14,16.96,2.22,25.65,-5.85,-1.05,21.96
0.95,-2.73,14.15,0.61,16.91,2.47,26.36,-7.51,-0.41,22.19
0.11,-2.92,13.58,0.23,17.98,1.92,26.03,-5.76,-1.11,22.2
-0.22,-5.06,14.97,0.34,23.87,2.34,25.5,-6.26,-1.76,21.82
3.18,-1.85,17.1,1.81,25.02,3.93,25.03,-8.95,-1.08,21.4
4.45,-0.34,17.33,2.03,19.79,3.62,23.63,-5.55,1.97,19.99
4.91,1.78,16.05,3.18,19.73,4.72,24.68,-4.91,0.76,21.14
4.9,2.17,15.44,3.23,22.45,5.93,25.94,-1.88,2.14,23.55
3.55,2.09,15.63,2.56,22.89,6.79,25.83,-1.87,1.3,22.56
1.87,-0.68,15.05,1.58,19.18,8.25,25.62,-1.5,0.83,22.08
4.03,-0.69,16.75,5.25,23.56,9.57,26.17,-1.26,5.44,22.24
5.19,-0.75,19.76,5.83,21.21,8.06,25.85,-0.39,5.49,22.28
1.68,0.59,20.34,5.28,22.92,7.26,25.92,-0.05,4.79,22.67
1.5,-0.17,19.54,4.57,19.51,7.78,26.61,0.39,3.51,23.12
3.41,-0.37,19.98,2.56,17.69,8.11,26.6,-0.19,3.54,23.18
3.04,1.04,20.9,3.16,18.05,7.28,25.42,-0.83,1.73,22.18
2.51,0.47,21.93,5.12,21.14,7.17,25.99,0.19,2.77,22.55
3.5,1.09,21.72,4.05,21.74,7.86,26.4,2.31,4.52,23.16
2.44,2.63,21.76,2.04,25.36,7.59,28.81,1.54,2.47,24.07
3.07,0.56,21.92,2.82,26.49,5.16,29.42,-0.15,2.96,24.72
4.36,0.56,21.29,4.09,20.87,8.08,28.38,1.16,5.8,24.12
4.83,2.24,21.94,4.66,16.34,7.4,27.67,0.67,3.97,24.38
3.66,2.2,21.87,6.68,20.03,7.84,26.17,0.56,3.72,23.3
5.04,1.64,16.34,6.9,19.18,9.44,24.86,1.05,7.0,21.7
4.23,1.91,16.5,2.91,18.59,8.26,24.56,1.2,3.83,20.88
3.99,2.06,18.08,6.23,22.2,6.5,24.79,0.26,3.42,20.87
6.84,2.47,16.35,7.27,17.17,10.4,22.17,1.97,9.03,19.9
4.95,3.89,16.85,3.32,17.14,11.94,23.18,3.66,5.79,19.17
3.88,3.64,16.16,3.79,17.71,10.55,21.5,1.24,4.57,18.01
4.81,3.01,15.82,3.52,18.2,8.6,21.58,1.12,3.51,18.13
5.02,3.35,17.74,3.98,15.82,7.44,23.2,-0.63,4.08,20.25
6.06,3.73,18.46,5.36,16.54,8.39,25.04,0.78,4.56,22.26
6.25,4.82,20.17,7.15,17.47,9.1,26.01,1.65,5.21,22.94
6.58,7.27,20.16,7.26,18.77,9.49,25.47,4.11,7.48,23.24
7.38,7.21,16.15,6.61,17.61,10.29,26.35,5.03,8.22,23.68
6.35,4.89,16.54,5.92,16.35,11.8,28.34,5.97,8.41,25.59
4.97,3.26,18.59,5.17,18.08,13.38,28.81,3.09,6.81,25.12
4.85,2.68,21.21,7.01,16.18,10.48,29.87,1.69,5.36,26.24
3.83,2.73,21.59,5.29,15.67,9.88,28.96,0.41,4.63,26.42
3.89,3.66,22.21,4.1,18.07,8.27,28.63,1.38,4.68,26.14
5.19,4.88,18.91,5.0,15.27,6.23,26.61,3.01,4.18,23.92
5.85,7.13,19.28,5.03,18.09,8.82,25.53,5.18,5.73,23.31
8.02,8.85,20.14,6.62,20.82,10.12,25.93,7.61,8.54,23.95
6.24,6.03,19.76,4.73,20.07,11.92,27.9,7.36,8.29,25.72
7.24,4.47,20.42,5.2,21.39,12.6,29.91,5.92,6.2,27.48
5.18,5.05,22.34,6.0,15.5,11.5,31.0,5.79,6.48,28.02
6.08,2.63,23.63,5.88,15.24,11.03,31.39,5.65,5.76,28.55
3.76,0.44,24.59,3.88,19.59,9.99,31.51,3.34,5.95,28.96
3.95,3.45,25.01,4.98,19.95,10.72,31.31,4.12,5.37,28.6
5.33,6.02,27.15,4.96,14.55,11.27,31.2,6.78,4.64,29.31
5.08,7.81,27.91,3.7,15.77,8.32,32.92,7.5,4.92,29.67
4.8,6.83,27.71,6.07,13.71,9.16,31.64,4.88,4.08,30.09
5.97,5.95,27.68,5.94,14.74,11.04,31.73,4.14,6.77,29.49
6.19,6.09,27.63,9.83,15.24,12.16,31.13,4.59,9.81,29.1
8.02,8.55,24.35,9.23,16.34,12.26,30.23,8.3,10.81,27.79
6.2,5.4,21.83,7.18,16.56,13.4,30.79,5.94,10.12,27.81
7.68,4.89,24.69,8.53,17.8,13.63,29.12,7.7,10.07,27.32
6.25,3.76,26.64,5.98,20.43,10.63,28.77,2.48,6.91,27.39
5.55,2.78,27.81,7.05,14.82,10.9,28.14,1.93,8.0,26.29
6.3,3.59,24.91,8.24,14.07,12.82,28.24,3.05,8.24,25.55
4.71,3.06,21.05,6.83,15.64,11.85,27.88,1.46,6.86,24.67
5.52,3.49,22.89,6.33,15.0,9.79,28.13,0.26,4.92,25.83
7.8,3.14,24.24,7.34,12.99,9.73,27.9,0.5,6.42,26.12
6.67,5.81,25.5,9.59,12.83,10.17,28.06,1.45,7.73,25.78
8.17,7.23,25.1,10.39,14.25,10.82,29.19,5.48,9.4,27.57
9.88,9.48,24.75,9.55,14.52,11.03,29.83,8.89,11.63,28.33
11.39,12.17,25.8,10.66,13.99,11.53,29.6,12.01,12.84,27.91
8.58,12.47,28.47,8.75,15.46,12.65,29.01,10.22,10.83,27.66
9.33,8.66,26.52,9.01,13.99,14.15,28.92,11.25,11.13,26.11
7.6,7.98,23.96,8.83,14.26,15.87,28.06,10.4,12.27,25.23
9.64,8.22,25.23,12.05,16.92,17.43,28.42,10.06,14.79,26.1
10.97,13.56,26.56,13.62,19.05,14.52,30.36,13.44,16.01,27.81
8.59,8.92,27.36,10.11,14.9,14.45,31.64,12.84,15.23,28.91
7.93,6.57,27.61,8.52,13.72,15.53,31.59,10.19,12.99,29.74
8.3,6.55,30.0,7.66,15.14,15.09,31.99,4.82,9.85,29.79
8.22,8.6,31.85,6.58,11.75,12.85,32.56,5.29,9.51,31.12
9.21,9.74,31.42,8.71,11.77,14.34,32.95,8.18,11.74,31.96
9.24,10.93,30.13,9.19,12.56,15.72,32.28,10.28,12.99,31.47
8.36,8.73,29.57,9.2,14.06,14.39,31.47,10.25,11.73,29.97
9.04,10.09,30.9,9.29,14.61,16.01,31.18,6.6,12.76,29.22
10.92,12.47,33.69,10.72,15.04,16.21,30.98,10.23,13.94,28.23
11.1,13.06,32.41,12.11,13.08,15.89,30.25,11.4,13.29,27.53
9.05,13.2,28.83,8.27,12.19,15.5,30.27,13.28,11.84,28.2
7.25,10.71,30.26,7.06,12.6,14.18,31.21,14.77,9.34,29.57
6.4,7.2,31.56,7.02,12.86,13.06,31.34,6.81,8.11,29.56
8.66,8.44,32.18,7.72,12.6,12.75,31.19,7.25,9.6,29.23
8.43,9.97,32.23,7.88,12.41,14.23,30.69,8.83,9.07,28.67
7.5,9.0,31.35,6.73,14.34,16.36,30.25,9.09,8.76,28.3
9.29,9.05,31.28,8.39,15.74,17.08,30.76,9.79,10.76,28.57
11.2,12.58,31.81,12.59,13.37,17.58,30.84,12.54,14.97,28.27
13.49,16.14,32.98,13.11,15.07,16.63,31.06,15.81,15.36,29.39
14.16,17.64,32.42,12.7,13.8,17.84,31.83,17.75,15.21,30.62
11.73,14.19,33.6,10.48,11.93,17.28,32.75,11.63,11.47,31.01
11.51,12.02,34.61,10.93,11.05,16.18,32.39,11.4,11.68,30.4
13.02,12.56,34.67,11.7,12.69,17.16,32.17,15.01,13.99,30.9
12.41,14.72,34.92,12.3,13.97,18.06,32.36,12.9,14.69,30.52
12.45,10.99,35.4,12.15,13.03,18.79,32.11,13.25,15.47,30.25
14.69,13.27,36.38,14.51,12.66,17.96,32.14,14.95,17.89,30.74
12.73,16.05,35.39,11.47,12.05,17.13,31.43,18.3,14.32,29.68
11.53,12.47,34.14,11.26,9.9,18.42,30.28,17.23,12.96,26.79
10.74,10.63,33.0,8.64,11.8,18.79,31.18,13.84,12.03,27.25
9.47,11.25,33.45,10.67,12.22,14.55,31.86,11.82,10.72,27.75
10.46,10.36,34.35,12.61,12.25,17.99,32.33,13.83,11.61,29.61
11.51,10.51,34.73,10.73,12.52,18.77,31.13,12.11,12.13,28.66
10.63,14.02,37.02,10.22,12.11,18.42,31.37,15.98,12.92,28.64
10.2,14.22,38.28,8.87,12.75,15.5,30.62,13.26,9.52,27.87
9.69,12.57,36.09,9.26,13.15,13.67,30.93,7.47,9.06,28.28
11.55,11.42,36.47,11.64,11.22,14.44,30.8,7.96,11.65,27.99
13.16,13.99,37.27,13.34,10.81,16.59,30.64,8.89,13.0,27.54
11.12,14.3,37.11,13.46,11.24,17.56,30.68,9.04,14.65,26.86
11.6,14.27,37.6,13.62,9.8,19.02,31.26,10.05,14.64,27.83
11.44,15.64,37.39,11.43,10.51,19.15,30.73,12.45,13.41,27.31
10.73,12.94,36.83,12.86,10.34,17.69,31.09,10.7,13.17,27.9
12.16,11.31,35.11,12.14,13.04,17.67,31.5,9.44,14.74,28.51
12.27,13.51,35.3,12.4,13.91,18.84,31.69,12.99,13.63,28.72
11.41,13.92,36.73,10.33,10.89,19.65,31.63,15.95,13.04,28.68
10.76,12.33,36.96,11.07,11.42,20.21,31.41,14.49,12.78,28.35
12.14,14.43,36.86,12.3,10.71,20.04,32.29,15.74,14.26,29.22
11.82,13.65,35.93,10.31,8.6,20.42,30.79,17.59,12.11,27.63
14.27,16.84,34.84,14.29,9.45,21.46,30.83,18.45,16.13,27.2
14.0,18.15,35.07,13.53,9.12,22.84,31.23,20.21,15.63,28.65
15.07,15.77,35.32,14.49,6.85,23.51,31.54,19.56,17.7,29.19
18.61,20.3,35.16,16.47,9.45,22.86,29.87,20.68,21.73,26.33
14.55,21.87,35.34,12.29,11.71,25.04,30.19,22.77,15.37,27.37
13.4,18.04,36.5,12.78,11.4,25.99,29.85,20.81,14.45,26.96
12.51,15.23,38.25,12.24,12.73,25.51,29.59,16.35,13.52,26.29
12.22,15.06,39.17,10.64,10.56,23.4,29.01,12.46,13.42,25.87
14.61,17.04,36.94,12.03,9.56,21.61,28.87,15.39,15.35,25.98
15.91,18.34,37.54,15.21,10.2,22.98,29.12,17.68,20.37,26.15
18.24,19.07,37.42,17.31,9.0,20.86,27.83,21.46,20.26,24.68
16.19,22.22,34.92,15.57,11.07,20.61,27.63,19.26,18.09,23.96
14.27,18.37,33.34,14.32,11.18,21.45,27.08,20.0,17.38,23.48
12.64,15.45,34.0,13.2,10.45,22.08,27.76,15.28,16.49,23.89
12.93,12.73,34.27,15.42,11.81,20.91,28.01,14.76,14.99,24.38
15.13,14.94,35.21,17.77,11.04,21.9,27.47,14.1,16.85,24.24
13.75,15.84,36.48,15.4,9.64,22.93,27.49,14.28,16.79,24.3
12.89,13.11,37.43,14.51,7.68,22.96,27.63,12.4,15.43,24.12
13.19,13.12,37.04,14.69,8.6,22.75,27.15,10.27,16.1,24.52
14.26,15.14,35.87,15.21,8.01,23.66,27.08,11.96,16.22,24.34
12.7,14.37,35.37,13.18,7.92,23.38,26.9,14.59,13.19,24.08
12.82,12.07,36.54,14.17,12.05,23.33,27.06,12.46,14.07,24.62
15.16,13.26,34.75,16.03,10.81,21.54,26.99,12.51,17.04,24.01
17.08,17.62,28.15,16.95,10.44,22.97,27.45,15.35,20.55,24.92
17.9,19.15,32.14,17.46,10.0,25.16,27.31,18.02,21.65,24.81
16.63,18.75,33.22,17.39,9.27,26.12,27.29,18.0,18.13,24.77
16.58,18.27,34.63,16.58,10.21,26.43,27.21,16.6,20.0,24.72
17.19,20.88,33.99,17.25,9.82,26.79,27.18,18.51,19.69,24.68
19.08,20.92,32.42,18.75,10.26,25.02,27.1,20.67,22.73,24.26
22.04,21.33,32.91,23.2,9.81,23.88,27.12,21.17,25.92,24.36
21.9,23.92,33.18,18.36,9.77,25.12,26.83,23.7,22.92,24.56
21.95,26.88,34.64,18.46,8.02,25.62,27.07,24.47,24.21,24.66
21.72,29.91,35.16,20.06,9.13,26.58,27.2,25.26,24.27,24.68
18.87,30.59,34.77,16.61,9.06,27.22,27.4,27.24,19.56,24.84
